Wavelength (nm),Sum(calc),Si I (3.4e-1),Si II (6.6e-1),Si III (3.0e-5)
212.56,2.080e+4,2.080e+4,1.001e-14,5.400e-28
212.59,8.645e+3,8.645e+3,9.981e-15,5.362e-28
212.61,4.406e+3,4.406e+3,9.959e-15,5.338e-28
212.64,1.404e+3,1.404e+3,9.927e-15,5.300e-28
212.66,5.994e+2,5.994e+2,9.906e-15,5.276e-28
212.69,1.464e+2,1.464e+2,9.874e-15,5.238e-28
212.71,5.234e+1,5.234e+1,9.852e-15,5.214e-28
212.74,9.798e+0,9.798e+0,9.820e-15,5.176e-28
212.76,2.934e+0,2.934e+0,9.799e-15,5.151e-28
212.79,4.210e-1,4.210e-1,9.767e-15,5.114e-28
212.81,1.056e-1,1.056e-1,9.745e-15,5.089e-28
212.84,1.161e-2,1.161e-2,9.713e-15,5.052e-28
212.86,2.440e-3,2.440e-3,9.692e-15,5.027e-28
212.89,2.056e-4,2.056e-4,9.659e-15,4.990e-28
212.91,3.618e-5,3.618e-5,9.638e-15,4.965e-28
212.93,5.930e-6,5.930e-6,9.617e-15,4.941e-28
212.96,3.444e-7,3.444e-7,9.585e-15,4.903e-28
212.98,4.728e-8,4.728e-8,9.563e-15,4.879e-28
213.01,2.105e-9,2.105e-9,9.531e-15,4.841e-28
213.03,2.420e-10,2.420e-10,9.510e-15,4.817e-28
213.06,8.258e-12,8.258e-12,9.478e-15,4.779e-28
216.36,6.859e-29,4.676e-12,5.946e-15,6.859e-29
216.39,2.031e-27,4.643e-12,5.914e-15,2.031e-27
216.41,1.786e-26,4.621e-12,5.892e-15,1.786e-26
216.44,4.098e-25,4.589e-12,5.860e-15,4.098e-25
216.46,3.040e-24,4.567e-12,5.839e-15,3.040e-24
216.49,5.408e-23,4.535e-12,5.807e-15,5.408e-23
216.51,3.385e-22,4.513e-12,5.785e-15,3.385e-22
216.54,4.668e-21,4.480e-12,5.753e-15,4.668e-21
216.56,2.466e-20,4.459e-12,5.732e-15,2.466e-20
216.59,2.636e-19,4.426e-12,5.700e-15,2.636e-19
216.61,1.175e-18,4.404e-12,5.678e-15,1.175e-18
216.64,9.733e-18,4.372e-12,5.646e-15,9.733e-18
216.66,3.661e-17,4.350e-12,5.625e-15,3.661e-17
216.69,2.351e-16,4.318e-12,5.593e-15,2.351e-16
216.71,7.463e-16,4.296e-12,5.571e-15,7.463e-16
216.73,2.214e-15,4.274e-12,5.550e-15,2.214e-15
216.76,9.961e-15,4.242e-12,5.518e-15,9.961e-15
216.78,2.495e-14,4.220e-12,5.496e-15,2.495e-14
216.81,8.715e-14,4.187e-12,5.464e-15,8.715e-14
216.83,1.845e-13,4.166e-12,5.443e-15,1.845e-13
216.86,5.019e-13,4.133e-12,5.411e-15,5.019e-13
216.88,9.010e-13,4.111e-12,5.389e-15,9.010e-13
216.91,1.923e-12,4.079e-12,5.357e-15,1.923e-12
216.93,2.951e-12,4.057e-12,5.336e-15,2.951e-12
216.96,5.036e-12,4.024e-12,5.304e-15,5.036e-12
216.98,6.733e-12,4.003e-12,5.282e-15,6.733e-12
217.01,9.561e-12,3.970e-12,5.250e-15,9.561e-12
217.03,1.152e-11,3.949e-12,5.229e-15,1.152e-11
217.06,1.439e-11,3.916e-12,5.197e-15,1.439e-11
217.08,1.613e-11,3.894e-12,5.175e-15,1.613e-11
217.11,1.815e-11,3.862e-12,5.143e-15,1.815e-11
217.13,1.883e-11,3.840e-12,5.122e-15,1.883e-11
217.15,1.876e-11,3.818e-12,5.100e-15,1.876e-11
217.18,1.706e-11,3.786e-12,5.068e-15,1.706e-11
217.2,1.496e-11,3.764e-12,5.047e-15,1.496e-11
217.23,1.101e-11,3.731e-12,5.015e-15,1.101e-11
217.25,8.298e-12,3.710e-12,4.993e-15,8.298e-12
217.28,4.816e-12,3.677e-12,4.961e-15,4.816e-12
217.3,3.091e-12,3.655e-12,4.940e-15,3.091e-12
217.33,1.424e-12,3.623e-12,4.908e-15,1.424e-12
217.35,8.229e-13,3.601e-12,4.886e-15,8.229e-13
217.38,4.832e-13,3.569e-12,4.854e-15,4.832e-13
217.4,5.693e-13,3.547e-12,4.833e-15,5.693e-13
217.43,1.236e-12,3.514e-12,4.801e-15,1.236e-12
217.45,2.206e-12,3.493e-12,4.779e-15,2.206e-12
217.48,4.984e-12,3.460e-12,4.747e-15,4.984e-12
217.5,8.188e-12,3.438e-12,4.726e-15,8.188e-12
217.52,1.294e-11,3.417e-12,4.704e-15,1.294e-11
