Wavelength (nm),Sum(calc),K I (3.1e-2),K II (9.7e-1),K III (2.7e-11)
318.11,5.377e-18,,5.377e-18,6.909e-35
318.13,2.145e-17,,2.145e-17,6.886e-35
318.16,1.611e-16,,1.611e-16,6.852e-35
318.18,5.941e-16,,5.941e-16,6.830e-35
318.2,2.123e-15,,2.123e-15,6.807e-35
318.23,1.352e-14,,1.352e-14,6.773e-35
318.25,4.466e-14,,4.466e-14,6.751e-35
318.28,2.528e-13,,2.528e-13,6.717e-35
318.3,7.719e-13,,7.719e-13,6.694e-35
318.33,3.883e-12,,3.883e-12,6.661e-35
318.35,1.096e-11,,1.096e-11,6.638e-35
318.38,4.901e-11,,4.901e-11,6.604e-35
318.4,1.279e-10,,1.279e-10,6.582e-35
318.43,5.081e-10,,5.081e-10,6.548e-35
318.45,1.226e-9,,1.226e-9,6.525e-35
318.48,4.328e-9,,4.328e-9,6.491e-35
318.5,9.650e-9,,9.650e-9,6.469e-35
318.53,3.029e-8,,3.029e-8,6.435e-35
318.55,6.243e-8,,6.243e-8,6.412e-35
318.58,1.742e-7,,1.742e-7,6.378e-35
318.6,3.318e-7,,3.318e-7,6.356e-35
318.63,8.227e-7,,8.227e-7,6.322e-35
318.65,1.449e-6,,1.449e-6,6.299e-35
318.68,3.193e-6,,3.193e-6,6.265e-35
