Wavelength (nm),Sum(calc),Na I (4.5e-2),Na II (9.5e-1),Na III (3.4e-19)
303.84,3.162e-12,,3.162e-12,
303.87,2.168e-12,,2.168e-12,
303.89,1.614e-12,,1.614e-12,
303.92,9.720e-13,,9.720e-13,
303.94,6.636e-13,,6.636e-13,
303.97,3.508e-13,,3.508e-13,
303.99,2.196e-13,,2.196e-13,
304.01,1.328e-13,,1.328e-13,
304.04,5.852e-14,,5.852e-14,
304.06,3.245e-14,,3.245e-14,
304.09,1.258e-14,,1.258e-14,
304.11,6.439e-15,,6.439e-15,
304.14,2.347e-15,,2.347e-15,
304.16,1.374e-15,,1.374e-15,
304.19,1.286e-15,,1.286e-15,
304.21,1.962e-15,,1.962e-15,
304.24,4.395e-15,,4.395e-15,
304.26,7.458e-15,,7.458e-15,
304.29,1.557e-14,,1.557e-14,
304.31,2.437e-14,,2.437e-14,
304.34,4.476e-14,,4.476e-14,
304.36,6.430e-14,,6.430e-14,
304.39,1.038e-13,,1.038e-13,
304.41,1.368e-13,,1.368e-13,
304.43,1.741e-13,,1.741e-13,
304.46,2.345e-13,,2.345e-13,
304.48,2.739e-13,,2.739e-13,
304.51,3.240e-13,,3.240e-13,
304.53,3.472e-13,,3.472e-13,
304.56,3.611e-13,,3.611e-13,
304.58,3.552e-13,,3.552e-13,
304.61,3.254e-13,,3.254e-13,
304.63,2.949e-13,,2.949e-13,
304.66,2.417e-13,,2.417e-13,
304.68,2.072e-13,,2.072e-13,
304.71,1.673e-13,,1.673e-13,
304.73,1.550e-13,,1.550e-13,
304.76,1.683e-13,,1.683e-13,
304.78,2.047e-13,,2.047e-13,
304.81,3.101e-13,,3.101e-13,
304.83,4.186e-13,,4.186e-13,
304.85,5.589e-13,,5.589e-13,
304.88,8.239e-13,,8.239e-13,
304.9,1.028e-12,,1.028e-12,
304.93,1.347e-12,,1.347e-12,
304.95,1.547e-12,,1.547e-12,
304.98,1.792e-12,,1.792e-12,
305,1.900e-12,,1.900e-12,
305.03,1.970e-12,,1.970e-12,
305.05,1.963e-12,,1.963e-12,
305.08,1.921e-12,,1.921e-12,
305.1,1.918e-12,,1.918e-12,
305.13,2.047e-12,,2.047e-12,
305.15,2.288e-12,,2.288e-12,
305.18,2.987e-12,,2.987e-12,
305.2,3.734e-12,,3.734e-12,
305.23,5.360e-12,,5.360e-12,
305.25,6.840e-12,,6.840e-12,
305.27,8.712e-12,,8.712e-12,
305.3,1.254e-11,,1.254e-11,
305.32,1.612e-11,,1.612e-11,
305.35,2.397e-11,,2.397e-11,
305.37,3.168e-11,,3.168e-11,
305.4,4.864e-11,,4.864e-11,
305.42,6.454e-11,,6.454e-11,
305.45,9.649e-11,,9.649e-11,
305.47,1.232e-10,,1.232e-10,
305.5,1.696e-10,,1.696e-10,
305.52,2.026e-10,,2.026e-10,
305.55,2.498e-10,,2.498e-10,
305.57,2.758e-10,,2.758e-10,
305.6,3.009e-10,,3.009e-10,
305.62,3.058e-10,,3.058e-10,
305.65,2.942e-10,,2.942e-10,
305.67,2.748e-10,,2.748e-10,
305.69,2.481e-10,,2.481e-10,
305.72,1.997e-10,,1.997e-10,
305.74,1.657e-10,,1.657e-10,
305.77,1.175e-10,,1.175e-10,
305.79,8.966e-11,,8.966e-11,
305.82,5.615e-11,,5.615e-11,
305.84,3.948e-11,,3.948e-11,
305.87,2.197e-11,,2.197e-11,
305.89,1.436e-11,,1.436e-11,
305.92,7.306e-12,,7.306e-12,
305.94,4.625e-12,,4.625e-12,
305.97,2.463e-12,,2.463e-12,
305.99,1.784e-12,,1.784e-12,
306.02,1.379e-12,,1.379e-12,
306.04,1.327e-12,,1.327e-12,
306.07,1.383e-12,,1.383e-12,
306.09,1.440e-12,,1.440e-12,
306.11,1.480e-12,,1.480e-12,
306.14,1.473e-12,,1.473e-12,
306.16,1.415e-12,,1.415e-12,
306.19,1.256e-12,,1.256e-12,
306.21,1.113e-12,,1.113e-12,
306.24,8.716e-13,,8.716e-13,
306.26,7.103e-13,,7.103e-13,
306.29,4.914e-13,,4.914e-13,
306.31,3.699e-13,,3.699e-13,
306.34,2.312e-13,,2.312e-13,
