Wavelength (nm),Sum(calc),Fe I (1.5e-1),Fe II (8.5e-1),Fe III (1.1e-4)
206.71,5.344e+2,,5.344e+2,3.513e-2
206.74,6.509e+2,,6.509e+2,6.325e-2
206.76,7.194e+2,,7.193e+2,8.527e-2
206.79,7.579e+2,,7.577e+2,1.160e-1
206.81,7.246e+2,,7.245e+2,1.298e-1
206.84,5.960e+2,,5.959e+2,1.335e-1
206.86,4.817e+2,,4.815e+2,1.238e-1
206.89,3.169e+2,,3.168e+2,9.623e-2
206.91,2.336e+2,,2.336e+2,7.410e-2
206.94,1.627e+2,,1.627e+2,4.357e-2
206.96,1.469e+2,,1.469e+2,2.792e-2
206.98,1.468e+2,,1.468e+2,1.669e-2
207.01,1.556e+2,,1.556e+2,6.881e-3
207.03,1.566e+2,,1.566e+2,3.627e-3
207.06,1.417e+2,,1.417e+2,1.422e-3
207.08,1.216e+2,,1.216e+2,8.365e-4
207.11,8.436e+1,,8.436e+1,4.544e-4
207.13,6.027e+1,,6.027e+1,3.222e-4
207.16,3.165e+1,,3.165e+1,1.866e-4
207.18,1.877e+1,,1.877e+1,1.218e-4
207.21,7.449e+0,,7.449e+0,5.690e-5
207.23,3.665e+0,,3.665e+0,3.157e-5
207.26,1.100e+0,,1.100e+0,1.215e-5
207.28,4.490e-1,,4.490e-1,6.946e-6
207.31,1.018e-1,,1.018e-1,5.135e-6
207.33,3.449e-2,,3.449e-2,5.983e-6
207.35,1.085e-2,,1.084e-2,7.538e-6
207.38,1.671e-3,,1.661e-3,1.004e-5
207.4,4.446e-4,,4.334e-4,1.122e-5
207.43,6.185e-5,,5.019e-5,1.166e-5
207.45,2.189e-5,,1.086e-5,1.103e-5
207.48,1.020e-5,,9.524e-7,9.251e-6
207.5,8.235e-6,,1.809e-7,8.054e-6
207.53,7.567e-6,,1.781e-7,7.389e-6
207.55,9.895e-6,,9.855e-7,8.910e-6
207.58,3.401e-5,,1.227e-5,2.174e-5
207.6,1.137e-4,,6.016e-5,5.359e-5
207.63,8.001e-4,,5.686e-4,2.316e-4
207.65,2.910e-3,,2.317e-3,5.932e-4
207.68,1.876e-2,,1.660e-2,2.166e-3
207.7,6.093e-2,,5.622e-2,4.704e-3
207.73,3.183e-1,,3.052e-1,1.313e-2
