Wavelength (nm),Sum(calc),Mg I (1.1e-1),Mg II (8.9e-1),Mg III (5.4e-4)
217.22,3.146e-35,5.729e-14,,3.146e-35
217.25,4.716e-34,5.726e-14,,4.716e-34
217.27,2.636e-33,5.724e-14,,2.636e-33
217.3,3.068e-32,5.721e-14,,3.068e-32
217.32,1.448e-31,5.719e-14,,1.448e-31
217.35,1.309e-30,5.716e-14,,1.309e-30
217.37,5.220e-30,5.714e-14,,5.220e-30
217.39,1.946e-29,5.712e-14,,1.946e-29
217.42,1.234e-28,5.709e-14,,1.234e-28
217.44,3.886e-28,5.707e-14,,3.886e-28
217.47,1.914e-27,5.703e-14,,1.914e-27
217.49,5.091e-27,5.701e-14,,5.091e-27
217.52,1.946e-26,5.698e-14,,1.946e-26
217.54,4.374e-26,5.696e-14,,4.374e-26
217.57,1.298e-25,5.693e-14,,1.298e-25
217.59,2.465e-25,5.691e-14,,2.465e-25
217.62,5.681e-25,5.688e-14,,5.681e-25
217.64,9.111e-25,5.686e-14,,9.111e-25
217.67,1.631e-24,5.683e-14,,1.631e-24
217.69,2.209e-24,5.681e-14,,2.209e-24
217.72,3.069e-24,5.678e-14,,3.069e-24
217.74,3.513e-24,5.676e-14,,3.513e-24
217.77,3.790e-24,5.672e-14,,3.790e-24
217.79,3.664e-24,5.670e-14,,3.664e-24
217.81,3.312e-24,5.668e-14,,3.312e-24
217.84,2.507e-24,5.665e-14,,2.507e-24
217.86,1.914e-24,5.663e-14,,1.914e-24
217.89,1.125e-24,5.660e-14,,1.125e-24
217.91,7.256e-25,5.658e-14,,7.256e-25
217.94,3.311e-25,5.655e-14,,3.311e-25
217.96,1.804e-25,5.653e-14,,1.804e-25
217.99,6.393e-26,5.650e-14,,6.393e-26
218.01,2.942e-26,5.648e-14,,2.942e-26
218.04,8.095e-27,5.645e-14,,8.095e-27
218.06,3.147e-27,5.643e-14,,3.147e-27
218.09,6.724e-28,5.639e-14,,6.724e-28
218.11,2.208e-28,5.637e-14,,2.208e-28
218.14,3.663e-29,5.634e-14,,3.663e-29
218.16,1.016e-29,5.632e-14,,1.016e-29
218.18,2.636e-30,5.630e-14,,2.636e-30
218.21,3.068e-31,5.627e-14,,3.068e-31
218.23,6.722e-32,5.625e-14,,6.722e-32
218.26,6.075e-33,5.622e-14,,6.075e-33
218.28,1.124e-33,5.620e-14,,1.124e-33
