Wavelength (nm),Sum(calc),Ca I (3.8e-2),Ca II (9.5e-1),Ca III (1.3e-2)
210.88,1.392e-2,,1.392e-2,1.861e-15
210.9,5.641e-2,,5.641e-2,9.730e-16
210.93,4.024e-1,,4.024e-1,3.213e-16
210.95,1.363e+0,,1.363e+0,1.403e-16
210.97,4.301e+0,,4.301e+0,5.698e-17
211,2.108e+1,,2.108e+1,1.294e-17
211.02,5.563e+1,,5.563e+1,4.624e-18
211.05,2.086e+2,,2.086e+2,2.977e-18
211.07,4.604e+2,,4.604e+2,8.874e-18
211.1,1.321e+3,,1.321e+3,5.826e-17
211.12,2.440e+3,,2.440e+3,1.897e-16
211.15,5.358e+3,,5.358e+3,9.753e-16
211.17,8.283e+3,,8.283e+3,2.657e-15
211.2,1.393e+4,,1.393e+4,1.044e-14
211.22,1.803e+4,,1.803e+4,2.379e-14
211.25,2.324e+4,,2.324e+4,7.150e-14
211.27,2.520e+4,,2.520e+4,1.362e-13
211.3,2.490e+4,,2.490e+4,3.129e-13
211.32,2.262e+4,,2.262e+4,4.983e-13
211.35,1.716e+4,,1.716e+4,8.755e-13
211.37,1.307e+4,,1.307e+4,1.166e-12
211.39,9.281e+3,,9.281e+3,1.445e-12
211.42,4.868e+3,,4.868e+3,1.744e-12
211.44,2.901e+3,,2.901e+3,1.807e-12
211.47,1.171e+3,,1.171e+3,1.667e-12
211.49,5.858e+2,,5.858e+2,1.445e-12
211.52,1.821e+2,,1.821e+2,1.019e-12
211.54,7.660e+1,,7.660e+1,7.387e-13
211.57,1.836e+1,,1.836e+1,3.984e-13
211.59,6.495e+0,,6.495e+0,2.414e-13
211.62,1.201e+0,,1.201e+0,9.955e-14
211.64,3.578e-1,,3.578e-1,5.044e-14
211.67,5.111e-2,,5.111e-2,1.590e-14
211.69,1.281e-2,,1.281e-2,6.737e-15
211.72,1.414e-3,,1.414e-3,1.624e-15
211.74,2.986e-4,,2.986e-4,5.753e-16
211.76,5.886e-5,,5.886e-5,1.897e-16
211.79,4.527e-6,,4.527e-6,3.141e-17
211.81,7.512e-7,,7.512e-7,8.662e-18
211.84,4.462e-8,,4.462e-8,1.117e-18
211.86,6.230e-9,,6.230e-9,3.535e-19
211.89,2.855e-10,,2.855e-10,9.929e-19
211.91,3.352e-11,,3.352e-11,4.011e-18
211.94,1.184e-12,,1.184e-12,2.951e-17
211.96,9.352e-14,,9.342e-14,1.022e-16
211.99,5.769e-16,,9.334e-14,5.769e-16
212.01,1.673e-15,,9.329e-14,1.673e-15
212.04,7.237e-15,,9.321e-14,7.237e-15
212.06,1.758e-14,,9.316e-14,1.758e-14
212.09,5.825e-14,,9.308e-14,5.825e-14
212.11,1.185e-13,,9.303e-14,1.185e-13
212.14,3.008e-13,,9.295e-14,3.008e-13
212.16,5.124e-13,,9.290e-14,5.124e-13
212.18,8.128e-13,,9.285e-14,8.128e-13
212.21,1.422e-12,,9.277e-14,1.422e-12
212.23,1.889e-12,,9.272e-14,1.889e-12
212.26,2.531e-12,,9.264e-14,2.531e-12
212.28,2.816e-12,,9.259e-14,2.816e-12
212.31,2.892e-12,,9.251e-14,2.892e-12
212.33,2.693e-12,,9.246e-14,2.693e-12
212.36,2.120e-12,,9.238e-14,2.120e-12
212.38,1.653e-12,,9.233e-14,1.653e-12
212.41,9.969e-13,,9.225e-14,9.969e-13
212.43,6.511e-13,,9.220e-14,6.511e-13
212.46,3.008e-13,,9.212e-14,3.008e-13
212.48,1.645e-13,,9.207e-14,1.645e-13
212.51,5.825e-14,,9.199e-14,5.825e-14
212.53,2.668e-14,,9.194e-14,2.668e-14
212.55,1.138e-14,,9.188e-14,1.138e-14
212.58,2.802e-15,,9.181e-14,2.802e-15
212.6,1.076e-15,,9.175e-14,1.076e-15
212.63,6.120e-16,,9.168e-14,6.120e-16
212.65,1.202e-15,,9.162e-14,1.202e-15
212.68,4.430e-15,,9.155e-14,4.430e-15
212.7,9.959e-15,,9.149e-14,9.959e-15
212.73,2.947e-14,,9.142e-14,2.947e-14
212.75,5.563e-14,,9.136e-14,5.563e-14
212.78,1.264e-13,,9.129e-14,1.264e-13
212.8,2.000e-13,,9.123e-14,2.000e-13
212.83,3.486e-13,,9.116e-14,3.486e-13
212.85,4.624e-13,,9.110e-14,4.624e-13
212.88,6.187e-13,,9.103e-14,6.187e-13
212.9,6.878e-13,,9.097e-14,6.878e-13
212.93,7.062e-13,,9.090e-14,7.062e-13
212.95,6.581e-13,,9.084e-14,6.581e-13
212.97,5.714e-13,,9.079e-14,5.714e-13
213,4.051e-13,,9.071e-14,4.051e-13
213.02,2.948e-13,,9.066e-14,2.948e-13
213.05,1.604e-13,,9.058e-14,1.604e-13
213.07,9.792e-14,,9.053e-14,9.792e-14
213.1,4.118e-14,,9.045e-14,4.118e-14
213.12,2.179e-14,,9.040e-14,2.179e-14
213.15,1.032e-14,,9.032e-14,1.032e-14
213.17,1.130e-14,,9.027e-14,1.130e-14
213.2,2.689e-14,,9.019e-14,2.689e-14
213.22,5.131e-14,,9.014e-14,5.131e-14
213.25,1.219e-13,,9.006e-14,1.219e-13
213.27,1.992e-13,,9.001e-14,1.992e-13
213.3,3.652e-13,,8.993e-14,3.652e-13
213.32,5.011e-13,,8.988e-14,5.011e-13
213.34,6.408e-13,,8.983e-14,6.408e-13
213.37,8.123e-13,,8.975e-14,8.123e-13
213.39,8.714e-13,,8.970e-14,8.714e-13
213.42,8.488e-13,,8.962e-14,8.488e-13
213.44,7.639e-13,,8.957e-14,7.639e-13
213.47,5.716e-13,,8.949e-14,5.716e-13
213.49,4.316e-13,,8.944e-14,4.316e-13
213.52,2.481e-13,,8.936e-14,2.481e-13
213.54,1.572e-13,,8.931e-14,1.572e-13
213.57,6.943e-14,,8.923e-14,6.943e-14
213.59,3.689e-14,,8.918e-14,3.689e-14
213.62,1.252e-14,,8.910e-14,1.252e-14
213.64,5.582e-15,,8.905e-14,5.582e-15
