Wavelength (nm),Sum(calc),Al I (1.3e-1),Al II (8.7e-1),Al III (2.5e-5)
217.69,3.818e+1,3.818e+1,2.464e-16,1.061e-25
217.71,1.431e+1,1.431e+1,2.469e-16,1.058e-25
217.74,2.890e+0,2.890e+0,2.478e-16,1.053e-25
217.76,9.142e-1,9.142e-1,2.484e-16,1.049e-25
217.79,1.433e-1,1.433e-1,2.493e-16,1.045e-25
217.81,3.826e-2,3.826e-2,2.499e-16,1.041e-25
217.83,9.551e-3,9.551e-3,2.505e-16,1.038e-25
217.86,1.049e-3,1.049e-3,2.513e-16,1.033e-25
217.88,2.211e-4,2.211e-4,2.519e-16,1.030e-25
217.91,1.884e-5,1.884e-5,2.528e-16,1.025e-25
217.93,3.351e-6,3.351e-6,2.534e-16,1.021e-25
217.96,2.215e-7,2.215e-7,2.543e-16,1.017e-25
217.98,3.328e-8,3.328e-8,2.549e-16,1.013e-25
218.01,1.707e-9,1.707e-9,2.557e-16,1.008e-25
218.03,2.165e-10,2.165e-10,2.563e-16,1.005e-25
218.06,8.611e-12,8.611e-12,2.572e-16,1.000e-25
218.08,9.221e-13,9.221e-13,2.578e-16,9.968e-26
218.58,2.725e-16,6.485e-13,2.725e-16,9.144e-26
218.6,2.534e-15,6.376e-13,2.534e-15,9.111e-26
218.63,6.341e-14,6.212e-13,6.341e-14,9.062e-26
218.65,4.992e-13,6.102e-13,4.992e-13,9.029e-26
218.68,9.734e-12,5.938e-13,9.734e-12,8.979e-26
218.7,6.489e-11,5.829e-13,6.489e-11,8.946e-26
218.72,4.047e-10,5.719e-13,4.047e-10,8.913e-26
218.75,5.564e-9,5.555e-13,5.564e-9,8.864e-26
218.77,2.938e-8,5.446e-13,2.938e-8,8.831e-26
218.8,3.147e-7,5.282e-13,3.147e-7,8.782e-26
218.82,1.407e-6,5.172e-13,1.407e-6,8.749e-26
218.85,1.174e-5,5.008e-13,1.174e-5,8.699e-26
