Wavelength (nm),Ti I (5.4e-2),Ti II (9.4e-1),Ti III (1.9e-3)
520.10815,1.939e+2,,
520.785,1.294e+2,,
521.03843,1.369e+3,,
521.97015,5.493e+1,,
522.26744,2.155e+2,,
522.3623,2.906e+2,,
522.43049,1.149e+3,,
522.45438,4.601e+2,,
522.4934,7.356e+2,,
524.72895,2.029e+2,,
524.749,,,5.720e-7
525.20997,3.973e+1,,
525.58058,2.154e+2,,
525.99729,2.832e+2,,
526.34833,1.583e+2,,
527.812,,,2.753e-5
527.8334,,,6.167e-7
528.23764,1.514e+2,,
535.10672,4.186e+2,,
540.61801,9.269e+1,,
542.23813,8.070e+1,,
543.5816,5.488e+1,,
544.87904,4.801e+1,,
547.4223,1.142e+2,,
549.01477,2.251e+2,,
550.38953,5.593e+2,,
553.301,,,6.863e-7
564.85661,3.294e+2,,
566.21516,7.429e+2,,
567.54108,4.989e+2,,
567.9917,1.613e+2,,
568.94606,3.236e+2,,
570.26566,1.901e+2,,
570.82011,1.097e+2,,
571.18539,1.514e+2,,
571.6445,1.407e+2,,
572.04366,9.504e+1,,
573.9469,1.975e+2,,
573.99778,1.712e+2,,
577.4028,7.021e+2,,
578.59795,9.097e+2,,
580.42601,1.156e+3,,
586.64513,4.564e+2,,
589.92936,2.258e+2,,
591.85363,1.083e+2,,
592.211,1.112e+2,,
594.17517,9.737e+1,,
595.3159,5.743e+2,,
596.58285,4.821e+2,,
597.8541,3.980e+2,,
609.1171,2.998e+2,,
609.86581,3.078e+2,,
612.62161,1.210e+2,,
622.04748,3.632e+2,,
625.81016,9.230e+2,,
625.87069,1.178e+3,,
626.10988,7.046e+2,,
653.64205,4.715e+1,,
655.4223,1.277e+2,,
655.60618,1.743e+2,,
666.8,,,9.408e-6
674.31217,9.398e+1,,
686.1445,1.492e+2,,
701.536,,,1.313e-5
707.263,,,2.021e-5
720.94359,6.617e+2,,
721.61838,1.499e+2,,
724.48545,3.274e+2,,
725.17095,3.690e+2,,
734.46952,2.131e+2,,
735.77268,1.611e+2,,
736.41012,1.409e+2,,
740.813,,,2.676e-7
744.0577,1.664e+2,,
744.171,,,1.243e-7
748.459,,,8.927e-8
749.514,,,1.334e-7
750.687,,,4.470e-7
751.599,,,7.926e-8
754.431,,,3.329e-7
833.854,,,1.195e-7
836.4237,8.269e+1,,
837.7861,1.097e+2,,
838.2531,1.105e+2,,
838.2779,8.388e+1,,
839.42,,,1.930e-7
840.614,,,7.801e-8
841.2357,1.757e+2,,
842.6507,2.729e+2,,
843.4954,6.191e+2,,
843.5653,4.067e+2,,
867.5372,1.165e+2,,
868.2983,6.595e+1,,
869.233,3.328e+1,,
873.4711,2.560e+1,,
891.695,,,2.171e-7
