Wavelength (nm),Fe I (1.5e-1),Fe II (8.5e-1),Fe III (1.1e-4)
242.60774,,4.958e+0,
242.61934,,1.336e+0,
242.705457,,1.702e+1,
242.719984,,7.998e+0,
242.72296,,1.985e+0,
242.728356,,2.626e+1,
242.82918,,2.293e+2,
242.836353,,9.605e+2,
242.845699,,5.801e-1,
242.855416,,1.068e+0,
242.879983,,2.015e+2,
242.89684,,1.636e+1,
242.903576,,1.796e+2,
242.915384,,7.529e+1,
242.938632,,3.998e+2,
242.98481,,8.631e+0,
242.986156,,1.424e+0,
243.007804,,2.400e+3,
243.08385,,2.807e+0,
243.088058,,2.716e+1,
243.099808,,1.148e+1,
243.12447,,1.011e+1,
243.182835,,2.562e+0,
243.203199,,6.912e-1,
243.22609,,1.558e+3,
243.236434,,1.101e+0,
243.270008,,2.845e+1,
243.279121,,3.027e+1,
243.287285,,1.187e+3,
243.304112,,1.638e+1,
243.343525,,2.438e+1,
243.349859,,2.360e+2,
243.358123,,3.658e+1,
243.405875,,3.331e+1,
243.405937,,1.216e+0,
243.423727,,1.459e+2,
243.46206,,5.836e-1,
243.46493,,1.924e+2,
243.4729,,9.921e+2,
243.481658,,1.086e+1,
243.490205,,4.565e+1,
243.495157,,1.027e+3,
243.499822,,1.175e+2,
243.621988,,7.346e+1,
243.662163,,1.451e+2,
243.69969,,4.173e+1,
243.6999,,1.607e+1,
243.710385,,9.656e+0,
243.716238,,8.255e+1,
243.720356,,6.788e+1,
243.73337,,9.043e+0,
243.765196,,3.962e+1,
243.818221,1.640e+2,,
243.9055,,1.169e+0,
243.930113,,2.775e+3,
243.974488,1.924e+3,,
243.986829,,1.758e+1,
244.0424,,3.532e+2,
244.04432,,1.744e+0,
244.058596,,2.393e+0,
244.112927,,5.265e+1,
244.164606,,8.947e-1,
244.213245,,1.162e+0,
244.237572,,9.992e+0,
244.256819,1.430e+3,,
244.306241,,6.178e-1,
244.370981,,4.203e+0,
244.383347,,1.295e+1,
244.387166,1.688e+2,,
244.427989,,3.098e+1,
244.45151,,3.850e+3,
244.454777,,6.245e+0,
