wavelength,intensity
335.56,1132.0
335.59,669.6
335.61,439.7
335.64,215.7
335.66,133.3
335.69,78.94
335.71,72.98
335.74,89.25
335.76,108.3
335.79,137.7
335.81,153.4
335.84,172.1
335.86,190.4
335.89,266.6
335.91,392.8
335.94,804.3
335.96,1304.0
335.99,2503.0
336.01,3616.0
336.04,5617.0
336.06,6979.0
336.09,8608.0
336.11,9163.0
336.13,9168.0
336.16,8169.0
336.18,7002.0
336.21,4949.0
336.23,3636.0
336.26,2041.0
336.28,1288.0
336.31,576.3
336.33,313.3
336.36,113.0
336.38,53.95
336.41,17.7
336.43,10.25
336.46,9.881
336.48,13.7
336.51,23.46
336.53,31.81
336.56,44.99
336.58,52.51
336.61,58.98
336.63,59.01
336.66,52.7
336.68,45.45
336.71,33.28
336.73,26.46
336.76,21.6
336.78,24.01
336.81,40.7
336.83,64.6
336.86,130.2
336.88,202.3
336.91,370.1
336.93,532.1
336.96,864.8
336.98,1152.0
337.0,1493.0
337.03,2102.0
337.05,2569.0
337.08,3342.0
337.1,3897.0
337.13,4775.0
337.15,5386.0
337.18,6328.0
337.2,6933.0
337.23,7667.0
337.25,7922.0
337.28,7762.0
337.3,7246.0
337.33,5950.0
337.35,4880.0
337.38,3265.0
337.4,2329.0
337.43,1265.0
337.45,788.4
337.48,357.5
337.5,205.3
337.53,101.5
337.55,87.23
337.58,129.0
337.6,199.7
337.63,377.5
337.65,543.7
337.68,842.8
337.7,1047.0
337.73,1297.0
337.75,1391.0
337.78,1392.0
337.8,1308.0
337.83,1109.0
337.85,969.3
337.87,854.7
337.9,762.7
337.92,759.0
337.95,817.6
337.97,874.5
338.0,938.2
338.02,942.5
338.05,872.3
338.07,778.8
338.1,600.9
338.12,485.4
338.15,371.0
338.17,367.6
338.2,533.4
338.22,795.3
338.25,1463.0
338.27,2093.0
338.3,3225.0
338.32,3996.0
338.35,4926.0
338.37,5256.0
338.4,5200.0
338.42,4826.0
338.45,3963.0
338.47,3345.0
338.5,2575.0
338.52,2228.0
338.55,1934.0
338.57,1832.0
338.6,1718.0
338.62,1636.0
338.65,1508.0
338.67,1444.0
338.7,1416.0
338.72,1440.0
338.74,1478.0
338.77,1501.0
338.79,1460.0
338.82,1289.0
338.84,1115.0
338.87,813.6
338.89,617.5
338.92,371.0
338.94,248.6
338.97,125.2
338.99,75.42
339.02,34.03
339.04,21.18
339.07,15.76
339.09,18.88
339.12,31.85
339.14,45.52
339.17,72.13
339.19,92.58
339.22,125.1
339.24,148.2
339.27,190.5
339.29,231.2
339.32,326.7
339.34,420.4
339.37,603.8
339.39,740.6
339.42,924.6
339.44,1004.0
339.47,1020.0
339.49,957.5
339.52,778.4
339.54,628.6
339.57,407.2
339.59,282.5
339.62,145.7
339.64,86.95
339.66,49.05
339.69,19.45
339.71,11.24
339.74,8.882
339.76,11.9
339.79,22.15
339.81,32.57
339.84,52.41
339.86,66.81
339.89,85.91
339.91,94.25
339.94,97.03
339.96,92.24
339.99,78.04
340.01,66.95
340.04,53.48
340.06,49.16
340.09,51.77
340.11,59.37
340.14,77.05
340.16,90.61
340.19,108.7
340.21,116.7
340.24,119.9
340.26,116.3
340.29,105.5
340.31,97.56
340.34,88.99
340.36,86.82
340.39,87.93
340.41,89.61
340.44,89.72
340.46,86.95
340.49,79.65
340.51,75.33
340.53,74.63
340.56,87.1
340.58,108.5
340.61,164.2
340.63,216.6
340.66,310.1
340.68,373.4
340.71,449.5
340.73,476.3
340.76,469.4
340.78,434.0
340.81,348.8
340.83,283.1
340.86,192.4
340.88,145.5
340.91,100.1
340.93,84.68
340.96,75.86
340.98,74.56
