wl,A,E,g,,,,,,,,,,,
391.764,1.99E+07,30 637.157 ,2.5,,,,,,,,,,,
391.828, ,31 130.983 ,3.5,,,,,,,,,,,
391.981,2.24E+07,31 155.623 ,6.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
392.173, ,31 207.927 ,3.5,,,,,,,,,,, 
392.311,4.42E+07,29 994.041 ,2.5,,,,,,,,,,,
392.464, ,29 984.052 ,1.5,,,,,,,,,,,
393.109,1.46E+07,26 841.384 ,4.5,,,,,,,,,,,
393.137,1.54E+07,27 811.496 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
393.183, ,31 369.093 ,2.5,,,,,,,,,,, 
393.373, ,31 089.731 ,5.5,,,,,,,,,,,
393.809, ,29 908.904 ,4.5,,,,,,,,,,,
394.034,2.33E+07,27 934.638 ,4.5,,,,,,,,,,,
394.097,1.46E+07,28 730.712 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
394.215,4.31E+07,25 359.686 ,2.5,,,,,,,,,,, 
394.275,1.32E+08,32 269.252 ,7.5,,,,,,,,,,,
394.389,5.50E+07,31 738.484 ,5.5,,,,,,,,,,,
394.797,1.29E+07,28 685.758 ,2.5,,,,,,,,,,,
395.254,3.35E+07,27 934.638 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
395.366,1.64E+07,29 281.374 ,2.5,,,,,,,,,,, 
395.536, ,32 616.019 ,4.5,,,,,,,,,,,
395.606, ,31 089.731 ,5.5,,,,,,,,,,,
395.628,3.98E+07,30 180.096 ,6.5,,,,,,,,,,,
395.827, ,31 075.603 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
395.887, ,32 314.466 ,0.5,,,,,,,,,,, 
396.091,4.59E+07,27 835.233 ,1.5,,,,,,,,,,,
396.45,1.57E+07,27 812.398 ,2.5,,,,,,,,,,,
396.705,4.74E+07,27 835.233 ,1.5,,,,,,,,,,,
397.168,1.64E+07,29 166.597 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
397.207, ,31 558.626 ,3.5,,,,,,,,,,, 
397.507, ,32 862.767 ,3.5,,,,,,,,,,,
397.865,6.00E+07,29 449.778 ,1.5,,,,,,,,,,,
398.088,3.22E+07,30 829.124 ,3.5,,,,,,,,,,,
398.289,1.81E+07,31 738.484 ,5.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
398.329,8.90E+06,29 263.338 ,5.5,,,,,,,,,,, 
398.468,3.47E+07,32 802.165 ,5.5,,,,,,,,,,,
398.944, ,32 318.175 ,3.5,,,,,,,,,,,
399.239,2.08E+07,28 634.516 ,5.5,,,,,,,,,,,
399.291, ,30 961.518 ,1.5,,,,,,,,,,,
