Wavelength (nm),Sum(calc),Ni I (2.4e-1),Ni II (7.6e-1),Ni III (2.5e-5)
208.859,1.039e-2,6.353e-16,1.039e-2,
208.869,5.523e-2,6.332e-16,5.523e-2,
208.879,2.619e-1,6.311e-16,2.619e-1,
208.889,1.108e+0,6.291e-16,1.108e+0,
208.899,4.179e+0,6.270e-16,4.179e+0,
208.909,1.406e+1,6.249e-16,1.406e+1,
208.919,4.219e+1,6.229e-16,4.219e+1,
208.929,1.129e+2,6.208e-16,1.129e+2,
208.939,2.694e+2,6.187e-16,2.694e+2,
208.949,5.735e+2,6.166e-16,5.735e+2,
208.958,1.026e+3,6.148e-16,1.026e+3,
208.968,1.757e+3,6.127e-16,1.757e+3,
208.978,2.684e+3,6.106e-16,2.684e+3,
208.988,3.656e+3,6.086e-16,3.656e+3,
208.998,4.441e+3,6.065e-16,4.441e+3,
209.008,4.812e+3,6.044e-16,4.812e+3,
209.018,4.649e+3,6.023e-16,4.649e+3,
209.028,4.007e+3,6.003e-16,4.007e+3,
209.038,3.079e+3,5.982e-16,3.079e+3,
209.048,2.111e+3,5.961e-16,2.111e+3,
209.058,1.290e+3,5.941e-16,1.290e+3,
209.068,7.035e+2,5.920e-16,7.035e+2,
209.078,3.420e+2,5.899e-16,3.420e+2,
209.088,1.483e+2,5.878e-16,1.483e+2,
209.098,5.736e+1,5.858e-16,5.736e+1,
209.108,1.979e+1,5.837e-16,1.979e+1,
209.118,6.087e+0,5.816e-16,6.087e+0,
209.128,1.670e+0,5.796e-16,1.670e+0,
209.138,4.086e-1,5.775e-16,4.086e-1,
209.148,8.916e-2,5.754e-16,8.916e-2,
209.158,1.735e-2,5.733e-16,1.735e-2,
209.168,3.028e-3,5.713e-16,3.028e-3,
209.177,6.683e-4,5.694e-16,6.683e-4,
209.187,8.240e-4,5.673e-16,8.240e-4,
209.197,4.794e-3,5.653e-16,4.794e-3,
209.207,2.740e-2,5.632e-16,2.740e-2,
209.217,1.400e-1,5.611e-16,1.400e-1,
209.227,6.385e-1,5.590e-16,6.385e-1,
209.237,2.598e+0,5.570e-16,2.598e+0,
209.247,9.428e+0,5.549e-16,9.428e+0,
209.257,3.053e+1,5.528e-16,3.053e+1,
209.267,8.820e+1,5.508e-16,8.820e+1,
209.277,2.273e+2,5.487e-16,2.273e+2,
209.287,5.228e+2,5.466e-16,5.228e+2,
209.297,1.073e+3,5.445e-16,1.073e+3,
209.307,1.964e+3,5.425e-16,1.964e+3,
209.317,3.207e+3,5.404e-16,3.207e+3,
209.327,4.673e+3,5.383e-16,4.673e+3,
209.337,6.075e+3,5.363e-16,6.075e+3,
209.347,7.046e+3,5.342e-16,7.046e+3,
209.357,7.291e+3,5.321e-16,7.291e+3,
209.367,6.732e+3,5.300e-16,6.732e+3,
209.377,5.545e+3,5.280e-16,5.545e+3,
209.386,4.224e+3,5.261e-16,4.224e+3,
209.396,2.801e+3,5.240e-16,2.801e+3,
209.406,1.658e+3,5.220e-16,1.658e+3,
209.416,8.751e+2,5.199e-16,8.751e+2,
209.426,4.121e+2,5.178e-16,4.121e+2,
209.436,1.732e+2,5.157e-16,1.732e+2,
209.446,6.493e+1,5.137e-16,6.493e+1,
209.456,2.172e+1,5.116e-16,2.172e+1,
209.466,6.481e+0,5.095e-16,6.481e+0,
209.476,1.726e+0,5.075e-16,1.726e+0,
209.486,4.099e-1,5.054e-16,4.099e-1,
209.496,8.688e-2,5.033e-16,8.688e-2,
209.506,1.643e-2,5.012e-16,1.643e-2,
209.516,2.771e-3,4.992e-16,2.771e-3,
209.526,4.171e-4,4.971e-16,4.171e-4,
209.536,5.602e-5,4.950e-16,5.602e-5,
209.546,6.711e-6,4.929e-16,6.711e-6,
209.556,7.174e-7,4.909e-16,7.174e-7,
209.566,6.842e-8,4.888e-16,6.842e-8,
209.576,5.821e-9,4.867e-16,5.821e-9,
209.586,4.419e-10,4.847e-16,4.419e-10,
209.596,2.993e-11,4.826e-16,2.993e-11,
209.605,2.407e-12,4.807e-16,2.407e-12,
209.615,1.313e-13,4.787e-16,1.313e-13,
209.625,6.386e-15,4.766e-16,6.386e-15,
209.635,2.772e-16,4.745e-16,2.772e-16,
209.645,1.073e-17,4.724e-16,1.073e-17,
211.845,1.661e-17,1.661e-17,3.699e-18,
211.855,4.120e-16,4.120e-16,3.667e-18,
211.865,9.143e-15,9.143e-15,3.635e-18,
211.875,1.816e-13,1.816e-13,3.603e-18,
211.885,3.227e-12,3.227e-12,3.571e-18,
211.895,5.132e-11,5.132e-11,3.539e-18,
211.905,7.303e-10,7.303e-10,3.507e-18,
211.915,9.299e-9,9.299e-9,3.475e-18,
211.925,1.060e-7,1.060e-7,3.443e-18,
211.935,1.080e-6,1.080e-6,3.411e-18,
211.945,9.859e-6,9.859e-6,3.379e-18,
211.955,8.050e-5,8.050e-5,3.347e-18,
211.965,5.882e-4,5.882e-4,3.315e-18,
211.975,3.845e-3,3.845e-3,3.283e-18,
211.985,2.250e-2,2.250e-2,3.251e-18,
211.994,1.003e-1,1.003e-1,3.222e-18,
212.004,4.752e-1,4.752e-1,3.190e-18,
212.014,2.015e+0,2.015e+0,3.158e-18,
212.024,7.642e+0,7.642e+0,3.127e-18,
212.034,2.594e+1,2.594e+1,3.095e-18,
212.044,7.879e+1,7.879e+1,3.063e-18,
212.054,2.142e+2,2.142e+2,3.031e-18,
212.064,5.209e+2,5.209e+2,2.999e-18,
212.074,1.134e+3,1.134e+3,2.967e-18,
212.084,2.208e+3,2.208e+3,2.935e-18,
212.094,3.849e+3,3.849e+3,2.903e-18,
212.104,6.002e+3,6.002e+3,2.871e-18,
212.114,8.376e+3,8.376e+3,2.839e-18,
212.124,1.046e+4,1.046e+4,2.807e-18,
212.134,1.169e+4,1.169e+4,2.775e-18,
212.144,1.169e+4,1.169e+4,2.743e-18,
212.154,1.046e+4,1.046e+4,2.711e-18,
212.164,8.376e+3,8.376e+3,2.679e-18,
212.174,6.002e+3,6.002e+3,2.647e-18,
212.184,3.849e+3,3.849e+3,2.615e-18,
212.194,2.208e+3,2.208e+3,2.583e-18,
212.204,1.134e+3,1.134e+3,2.551e-18,
212.213,5.659e+2,5.659e+2,2.522e-18,
212.223,2.352e+2,2.352e+2,6.537e-17,
212.233,8.751e+1,8.751e+1,1.517e-15,
212.243,2.913e+1,2.913e+1,3.151e-14,
212.253,8.678e+0,8.678e+0,5.859e-13,
212.263,2.313e+0,2.313e+0,9.752e-12,
212.273,5.518e-1,5.518e-1,1.453e-10,
212.283,1.178e-1,1.178e-1,1.938e-9,
212.293,2.252e-2,2.252e-2,2.315e-8,
212.303,3.993e-3,3.993e-3,2.474e-7,
212.313,1.592e-3,1.589e-3,2.368e-6,
212.323,6.190e-3,6.169e-3,2.028e-5,
212.333,3.331e-2,3.316e-2,1.556e-4,
212.343,1.626e-1,1.615e-1,1.068e-3,
212.353,7.111e-1,7.045e-1,6.563e-3,
212.363,2.787e+0,2.751e+0,3.610e-2,
212.373,9.793e+0,9.616e+0,1.778e-1,
212.383,3.087e+1,3.009e+1,7.839e-1,
212.393,8.736e+1,8.427e+1,3.094e+0,
212.403,2.222e+2,2.113e+2,1.093e+1,
212.413,5.088e+2,4.742e+2,3.457e+1,
212.423,1.051e+3,9.528e+2,9.787e+1,
212.432,1.851e+3,1.624e+3,2.272e+2,
212.442,3.165e+3,2.644e+3,5.211e+2,
212.452,4.923e+3,3.852e+3,1.070e+3,
212.462,6.993e+3,5.025e+3,1.968e+3,
212.472,9.106e+3,5.868e+3,3.238e+3,
212.482,1.090e+4,6.134e+3,4.771e+3,
212.492,1.203e+4,5.740e+3,6.292e+3,
212.502,1.224e+4,4.808e+3,7.429e+3,
212.512,1.146e+4,3.605e+3,7.852e+3,
212.522,9.848e+3,2.420e+3,7.429e+3,
212.532,7.746e+3,1.454e+3,6.292e+3,
212.542,5.553e+3,7.819e+2,4.771e+3,
212.552,3.615e+3,3.764e+2,3.238e+3,
212.562,2.130e+3,1.622e+2,1.968e+3,
212.572,1.133e+3,6.259e+1,1.070e+3,
212.582,5.427e+2,2.162e+1,5.211e+2,
212.592,2.338e+2,6.683e+0,2.272e+2,
212.602,9.049e+1,1.850e+0,8.864e+1,
212.612,3.142e+1,4.582e-1,3.096e+1,
212.622,9.783e+0,1.016e-1,9.682e+0,
212.632,2.730e+0,2.017e-2,2.710e+0,
212.642,6.828e-1,3.584e-3,6.792e-1,
212.651,1.785e-1,6.887e-4,1.778e-1,
212.661,3.622e-2,9.915e-5,3.612e-2,
212.671,6.690e-3,1.278e-5,6.677e-3,
212.681,1.922e-3,1.474e-6,1.920e-3,
212.691,5.845e-3,1.523e-7,5.844e-3,
212.701,3.402e-2,1.408e-8,3.402e-2,
212.711,1.819e-1,1.165e-9,1.819e-1,
212.721,8.719e-1,8.632e-11,8.719e-1,
212.731,3.742e+0,5.725e-12,3.742e+0,
212.741,1.438e+1,3.398e-13,1.438e+1,
212.751,4.950e+1,1.806e-14,4.950e+1,
212.761,1.526e+2,8.591e-16,1.526e+2,
212.771,4.211e+2,3.658e-17,4.211e+2,
212.781,1.041e+3,3.638e-17,1.041e+3,
212.791,2.304e+3,3.617e-17,2.304e+3,
212.801,4.566e+3,3.597e-17,4.566e+3,
212.811,8.105e+3,3.576e-17,8.105e+3,
212.821,1.288e+4,3.555e-17,1.288e+4,
212.831,1.834e+4,3.535e-17,1.834e+4,
212.841,2.338e+4,3.514e-17,2.338e+4,
212.851,2.669e+4,3.493e-17,2.669e+4,
212.861,2.729e+4,3.473e-17,2.729e+4,
212.87,2.533e+4,3.454e-17,2.533e+4,
212.88,2.100e+4,3.434e-17,2.100e+4,
212.89,1.559e+4,3.413e-17,1.559e+4,
212.9,1.036e+4,3.392e-17,1.036e+4,
212.91,6.168e+3,3.372e-17,6.168e+3,
212.92,3.288e+3,3.351e-17,3.288e+3,
212.93,1.570e+3,3.331e-17,1.570e+3,
212.94,6.712e+2,3.310e-17,6.712e+2,
212.95,2.570e+2,3.289e-17,2.570e+2,
