Wavelength (nm),Sum(calc),Al I (2.4e-2),Al II (4.8e-1),Al III (3.5e-4),Cr I (1.4e-2),Cr II (4.8e-1)
205.593,5.020e-3,,3.024e-41,,,5.020e-3
205.595,3.953e-4,,3.025e-41,,,3.953e-4
205.596,1.049e-4,,3.026e-41,,,1.049e-4
205.598,6.599e-6,,3.028e-41,,,6.599e-6
205.6,3.575e-7,,3.030e-41,,,3.575e-7
205.601,7.869e-8,,3.031e-41,,,7.869e-8
205.603,3.407e-9,,3.033e-41,,,3.407e-9
205.605,1.270e-10,,3.034e-41,,,1.270e-10
205.606,2.319e-11,,3.035e-41,,,2.319e-11
205.608,6.911e-13,,3.037e-41,,,6.911e-13
205.61,1.773e-14,,3.039e-41,,,1.773e-14
205.611,2.686e-15,,3.040e-41,,,2.686e-15
205.613,5.507e-17,,3.042e-41,,,5.507e-17
205.615,9.723e-19,,3.043e-41,,,9.723e-19
205.616,1.221e-19,,3.044e-41,,,1.221e-19
205.618,1.723e-21,,3.046e-41,,,1.723e-21
205.62,2.094e-23,,3.048e-41,,,2.094e-23
205.621,2.182e-24,,3.049e-41,,,2.182e-24
205.623,2.119e-26,,3.051e-41,,,2.119e-26
205.625,1.772e-28,,3.052e-41,,,1.772e-28
205.626,1.532e-29,,3.053e-41,,,1.532e-29
205.628,1.023e-31,,3.055e-41,,,1.023e-31
205.63,5.888e-34,,3.057e-41,,,5.888e-34
205.631,4.223e-35,,3.058e-41,,,4.223e-35
205.633,1.941e-37,,3.060e-41,,,1.941e-37
206.084,1.671e-38,,3.465e-41,,,1.671e-38
206.085,2.566e-37,,3.466e-41,,,2.566e-37
206.087,5.409e-35,,3.468e-41,,,5.409e-35
206.089,9.828e-33,,3.470e-41,,,9.828e-33
206.09,1.253e-31,,3.471e-41,,,1.253e-31
206.092,1.822e-29,,3.472e-41,,,1.822e-29
206.094,2.283e-27,,3.474e-41,,,2.283e-27
206.095,2.417e-26,,3.475e-41,,,2.417e-26
206.097,2.423e-24,,3.477e-41,,,2.423e-24
206.099,2.094e-22,,3.479e-41,,,2.094e-22
206.1,1.841e-21,,3.480e-41,,,1.841e-21
206.102,1.273e-19,,3.481e-41,,,1.273e-19
206.104,7.587e-18,,3.483e-41,,,7.587e-18
206.105,5.540e-17,,3.484e-41,,,5.540e-17
206.107,2.642e-15,,3.486e-41,,,2.642e-15
206.109,1.086e-13,,3.488e-41,,,1.086e-13
206.11,6.583e-13,,3.489e-41,,,6.583e-13
206.112,2.165e-11,,3.490e-41,,,2.165e-11
206.114,6.136e-10,,3.492e-41,,,6.136e-10
206.115,3.090e-9,,3.493e-41,,,3.090e-9
206.117,7.007e-8,,3.495e-41,,,7.007e-8
206.119,1.370e-6,,3.497e-41,,,1.370e-6
206.12,5.727e-6,,3.498e-41,,,5.727e-6
206.122,8.957e-5,,3.499e-41,,,8.957e-5
206.124,1.207e-3,,3.501e-41,,,1.207e-3
206.125,4.192e-3,,3.502e-41,,,4.192e-3
206.127,4.522e-2,,3.504e-41,,,4.522e-2
206.129,4.204e-1,,3.506e-41,,,4.204e-1
206.13,1.212e+0,,3.507e-41,,,1.212e+0
206.132,9.016e+0,,3.508e-41,,,9.016e+0
206.134,5.780e+1,,3.510e-41,,,5.780e+1
206.135,1.384e+2,,3.511e-41,,,1.384e+2
206.137,7.100e+2,,3.513e-41,,,7.100e+2
206.139,3.139e+3,,3.515e-41,,,3.139e+3
206.14,6.243e+3,,3.516e-41,,,6.243e+3
206.142,2.208e+4,,3.517e-41,,,2.208e+4
206.144,6.733e+4,,3.519e-41,,,6.733e+4
206.145,1.112e+5,,3.520e-41,,,1.112e+5
206.147,2.713e+5,,3.522e-41,,,2.713e+5
206.149,5.704e+5,,3.524e-41,,,5.704e+5
206.15,7.823e+5,,3.525e-41,,,7.823e+5
206.152,1.316e+6,,3.526e-41,,,1.316e+6
206.154,1.908e+6,,3.528e-41,,,1.908e+6
206.155,2.174e+6,,3.529e-41,,,2.174e+6
206.157,2.522e+6,,3.531e-41,,,2.522e+6
206.159,2.522e+6,,3.533e-41,,,2.522e+6
206.16,2.385e+6,,3.534e-41,,,2.385e+6
206.162,1.908e+6,,3.535e-41,,,1.908e+6
206.164,1.316e+6,,3.537e-41,,,1.316e+6
206.165,1.034e+6,,3.538e-41,,,1.034e+6
206.167,5.704e+5,,3.540e-41,,,5.704e+5
206.169,2.713e+5,,3.542e-41,,,2.713e+5
206.17,1.769e+5,,3.543e-41,,,1.769e+5
206.172,6.733e+4,,3.544e-41,,,6.733e+4
206.174,2.208e+4,,3.546e-41,,,2.208e+4
206.175,1.196e+4,,3.547e-41,,,1.196e+4
206.177,3.139e+3,,3.549e-41,,,3.139e+3
206.179,7.100e+2,,3.551e-41,,,7.100e+2
206.18,3.194e+2,,3.552e-41,,,3.194e+2
206.182,5.780e+1,,3.553e-41,,,5.780e+1
206.184,9.016e+0,,3.555e-41,,,9.016e+0
206.185,3.368e+0,,3.556e-41,,,3.368e+0
206.187,4.204e-1,,3.558e-41,,,4.204e-1
206.189,4.522e-2,,3.560e-41,,,4.522e-2
206.19,1.403e-2,,3.561e-41,,,1.403e-2
206.192,1.207e-3,,3.562e-41,,,1.207e-3
206.194,8.957e-5,,3.564e-41,,,8.957e-5
206.195,2.307e-5,,3.565e-41,,,2.307e-5
206.197,1.370e-6,,3.567e-41,,,1.370e-6
206.199,7.007e-8,,3.569e-41,,,7.007e-8
206.2,1.499e-8,,3.570e-41,,,1.499e-8
206.202,6.136e-10,,3.571e-41,,,6.136e-10
206.204,2.165e-11,,3.573e-41,,,2.165e-11
206.205,3.846e-12,,3.574e-41,,,3.846e-12
206.207,1.086e-13,,3.576e-41,,,1.086e-13
206.209,2.642e-15,,3.578e-41,,,2.642e-15
206.21,3.897e-16,,3.579e-41,,,3.897e-16
206.212,7.587e-18,,3.580e-41,,,7.587e-18
206.214,1.273e-19,,3.582e-41,,,1.273e-19
206.215,1.560e-20,,3.583e-41,,,1.560e-20
206.217,2.094e-22,,3.585e-41,,,2.094e-22
206.219,2.423e-24,,3.587e-41,,,2.423e-24
206.22,2.465e-25,,3.588e-41,,,2.465e-25
206.222,2.283e-27,,3.589e-41,,,2.283e-27
206.224,1.822e-29,,3.591e-41,,,1.822e-29
206.225,1.539e-30,,3.592e-41,,,1.539e-30
206.227,9.828e-33,,3.594e-41,,,9.828e-33
206.229,5.409e-35,,3.596e-41,,,5.409e-35
206.23,3.795e-36,,3.597e-41,,,3.795e-36
206.232,1.671e-38,,3.598e-41,,,1.671e-38
206.476,1.669e-38,,3.818e-41,,,1.669e-38
206.477,2.536e-37,,3.819e-41,,,2.536e-37
206.479,5.240e-35,,3.820e-41,,,5.240e-35
206.481,9.335e-33,,3.822e-41,,,9.335e-33
206.482,1.179e-31,,3.823e-41,,,1.179e-31
206.484,1.681e-29,,3.825e-41,,,1.681e-29
206.486,2.069e-27,,3.827e-41,,,2.069e-27
206.487,2.171e-26,,3.828e-41,,,2.171e-26
206.489,2.139e-24,,3.829e-41,,,2.139e-24
206.491,1.817e-22,,3.831e-41,,,1.817e-22
206.492,1.585e-21,,3.832e-41,,,1.585e-21
206.494,1.078e-19,,3.834e-41,,,1.078e-19
206.496,6.326e-18,,3.836e-41,,,6.326e-18
206.497,4.584e-17,,3.837e-41,,,4.584e-17
206.499,2.154e-15,,3.838e-41,,,2.154e-15
206.501,8.730e-14,,3.840e-41,,,8.730e-14
206.502,5.257e-13,,3.841e-41,,,5.257e-13
206.504,1.706e-11,,3.843e-41,,,1.706e-11
206.506,4.774e-10,,3.845e-41,,,4.774e-10
206.507,2.389e-9,,3.846e-41,,,2.389e-9
206.509,5.355e-8,,3.847e-41,,,5.355e-8
206.511,1.035e-6,,3.849e-41,,,1.035e-6
206.512,4.304e-6,,3.850e-41,,,4.304e-6
206.514,6.661e-5,,3.852e-41,,,6.661e-5
206.516,8.891e-4,,3.854e-41,,,8.891e-4
206.517,3.073e-3,,3.855e-41,,,3.073e-3
206.519,3.284e-2,,3.856e-41,,,3.284e-2
206.521,3.027e-1,,3.858e-41,,,3.027e-1
206.522,8.695e-1,,3.859e-41,,,8.695e-1
206.524,6.418e+0,,3.861e-41,,,6.418e+0
206.526,4.086e+1,,3.863e-41,,,4.086e+1
206.527,9.752e+1,,3.864e-41,,,9.752e+1
206.529,4.971e+2,,3.865e-41,,,4.971e+2
206.531,2.186e+3,,3.867e-41,,,2.186e+3
206.532,4.335e+3,,3.868e-41,,,4.335e+3
