Wavelength (nm),Sum(calc),Na I (4.5e-2),Na II (9.5e-1),Na III (3.4e-19)
218.243,1.172e-50,,,1.172e-50
218.245,2.596e-49,,,2.596e-49
218.247,4.942e-48,,,4.942e-48
218.248,2.038e-47,,,2.038e-47
218.25,3.093e-46,,,3.093e-46
218.252,4.037e-45,,,4.037e-45
218.253,1.378e-44,,,1.378e-44
218.255,1.434e-43,,,1.434e-43
218.257,1.282e-42,,,1.282e-42
218.258,3.624e-42,,,3.624e-42
218.26,2.584e-41,,,2.584e-41
218.262,1.584e-40,,,1.584e-40
218.263,3.706e-40,,,3.706e-40
218.265,1.811e-39,,,1.811e-39
218.267,7.611e-39,,,7.611e-39
218.268,1.474e-38,,,1.474e-38
218.27,4.938e-38,,,4.938e-38
218.272,1.422e-37,,,1.422e-37
218.273,2.280e-37,,,2.280e-37
218.275,5.235e-37,,,5.235e-37
218.277,1.033e-36,,,1.033e-36
218.278,1.372e-36,,,1.372e-36
218.28,2.159e-36,,,2.159e-36
218.282,2.920e-36,,,2.920e-36
218.283,3.209e-36,,,3.209e-36
218.285,3.461e-36,,,3.461e-36
218.287,3.209e-36,,,3.209e-36
218.288,2.920e-36,,,2.920e-36
218.29,2.159e-36,,,2.159e-36
218.292,1.372e-36,,,1.372e-36
218.293,1.033e-36,,,1.033e-36
218.295,5.235e-37,,,5.235e-37
218.297,2.280e-37,,,2.280e-37
218.298,1.422e-37,,,1.422e-37
218.3,4.938e-38,,,4.938e-38
218.302,1.474e-38,,,1.474e-38
218.303,7.611e-39,,,7.611e-39
218.305,1.811e-39,,,1.811e-39
218.307,3.706e-40,,,3.706e-40
218.308,1.584e-40,,,1.584e-40
218.31,2.584e-41,,,2.584e-41
218.312,3.624e-42,,,3.624e-42
218.313,1.282e-42,,,1.282e-42
218.315,1.434e-43,,,1.434e-43
218.317,1.378e-44,,,1.378e-44
218.318,4.037e-45,,,4.037e-45
218.32,3.093e-46,,,3.093e-46
218.322,2.038e-47,,,2.038e-47
218.323,4.942e-48,,,4.942e-48
218.325,2.596e-49,,,2.596e-49
218.327,1.172e-50,,,1.172e-50
218.328,2.353e-51,,,2.353e-51
218.33,8.470e-53,,,8.470e-53
218.332,2.621e-54,,,2.621e-54
218.333,4.357e-55,,,4.357e-55
218.335,1.075e-56,,,1.075e-56
218.337,2.280e-58,,,2.280e-58
218.338,3.138e-59,,,3.138e-59
218.34,5.306e-61,,,5.306e-61
218.342,7.714e-63,,,7.714e-63
218.343,8.788e-64,,,8.788e-64
218.345,1.019e-65,,,1.019e-65
218.347,1.015e-67,,,1.015e-67
218.348,9.572e-69,,,9.572e-69
218.35,7.603e-71,,,7.603e-71
218.352,5.193e-73,,,5.193e-73
218.353,4.055e-74,,,4.055e-74
218.355,2.207e-76,,,2.207e-76
218.357,1.033e-78,,,1.033e-78
218.358,6.680e-80,,,6.680e-80
