Wavelength (nm),Sum(calc),Al I (1.3e-1),Al II (8.7e-1),Al III (2.5e-5)
207.437,4.813e-10,,4.813e-10,5.196e-52
207.439,2.176e-11,,2.176e-11,1.481e-54
207.44,4.344e-12,,4.344e-12,7.426e-56
207.442,1.528e-13,,1.528e-13,1.647e-58
207.444,4.545e-15,,4.545e-15,3.089e-61
207.445,7.361e-16,,7.361e-16,1.256e-62
207.447,1.704e-17,,1.704e-17,1.833e-65
207.449,3.335e-19,,3.335e-19,2.262e-68
207.45,4.382e-20,,4.382e-20,7.462e-70
207.452,6.673e-22,,6.673e-22,7.481e-70
207.454,8.596e-24,,8.596e-24,7.500e-70
207.455,9.162e-25,,9.162e-25,7.510e-70
207.457,9.182e-27,,9.182e-27,7.528e-70
207.459,7.783e-29,,7.783e-29,7.547e-70
207.46,6.730e-30,,6.730e-30,7.557e-70
207.462,4.438e-32,,4.438e-32,7.576e-70
207.464,2.476e-34,,2.476e-34,7.594e-70
207.465,1.737e-35,,1.737e-35,7.604e-70
207.467,7.537e-38,,7.537e-38,7.623e-70
207.469,2.767e-40,,2.767e-40,7.642e-70
207.47,1.574e-41,,1.574e-41,7.651e-70
207.472,4.496e-44,,4.496e-44,7.670e-70
207.474,1.086e-46,,1.086e-46,7.689e-70
207.475,5.013e-48,,5.013e-48,7.698e-70
207.477,9.421e-51,,9.421e-51,7.717e-70
207.479,1.498e-53,,1.498e-53,7.736e-70
207.48,5.608e-55,,5.608e-55,7.746e-70
207.482,6.935e-58,,6.935e-58,7.764e-70
207.484,7.254e-61,,7.254e-61,7.783e-70
208.833,2.052e-69,,1.039e-58,2.052e-69
208.835,1.776e-66,,1.041e-58,1.776e-66
208.837,1.304e-63,,1.042e-58,1.304e-63
208.839,8.114e-61,,1.044e-58,8.114e-61
208.84,1.903e-59,,1.044e-58,1.903e-59
208.842,9.248e-57,,1.046e-58,9.248e-57
208.844,3.811e-54,,1.047e-58,3.811e-54
208.845,7.271e-53,,1.048e-58,7.271e-53
208.847,2.339e-50,,1.050e-58,2.339e-50
208.849,6.382e-48,,1.051e-58,6.382e-48
208.85,9.909e-47,,1.052e-58,9.909e-47
208.852,2.111e-44,,1.054e-58,2.111e-44
208.854,3.812e-42,,1.055e-58,3.812e-42
208.855,4.816e-41,,1.056e-58,4.816e-41
208.857,6.791e-39,,1.057e-58,6.791e-39
208.859,8.120e-37,,1.059e-58,8.120e-37
208.86,8.347e-36,,1.060e-58,8.347e-36
208.862,7.793e-34,,1.061e-58,7.793e-34
208.864,6.169e-32,,1.063e-58,6.169e-32
208.865,5.160e-31,,1.064e-58,5.160e-31
208.867,3.189e-29,,1.065e-58,3.189e-29
208.869,1.672e-27,,1.067e-58,1.672e-27
208.87,1.138e-26,,1.067e-58,1.138e-26
208.872,4.655e-25,,1.069e-58,4.655e-25
208.874,1.615e-23,,1.070e-58,1.615e-23
208.875,8.944e-23,,1.071e-58,8.944e-23
208.877,2.423e-21,,1.073e-58,2.423e-21
208.879,5.567e-20,,1.074e-58,5.567e-20
208.88,2.508e-19,,1.075e-58,2.508e-19
208.882,4.499e-18,,1.077e-58,4.499e-18
208.884,6.842e-17,,1.078e-58,6.842e-17
208.885,2.508e-16,,1.079e-58,2.508e-16
208.887,2.979e-15,,1.080e-58,2.979e-15
208.889,2.999e-14,,1.082e-58,2.999e-14
208.89,8.947e-14,,1.083e-58,8.947e-14
208.892,7.034e-13,,1.084e-58,7.034e-13
208.894,4.689e-12,,1.086e-58,4.689e-12
208.895,1.138e-11,,1.086e-58,1.138e-11
208.897,5.924e-11,,1.088e-58,5.924e-11
208.899,2.615e-10,,1.090e-58,2.615e-10
208.9,5.163e-10,,1.090e-58,5.163e-10
208.902,1.779e-9,,1.092e-58,1.779e-9
208.904,5.199e-9,,1.093e-58,5.199e-9
208.905,8.354e-9,,1.094e-58,8.354e-9
208.907,1.906e-8,,1.096e-58,1.906e-8
208.909,3.687e-8,,1.097e-58,3.687e-8
208.91,4.820e-8,,1.098e-58,4.820e-8
208.912,7.281e-8,,1.100e-58,7.281e-8
208.914,9.325e-8,,1.101e-58,9.325e-8
208.915,9.920e-8,,1.102e-58,9.920e-8
208.917,9.920e-8,,1.103e-58,9.920e-8
208.919,8.412e-8,,1.105e-58,8.412e-8
208.92,7.281e-8,,1.106e-58,7.281e-8
208.922,4.820e-8,,1.107e-58,4.820e-8
208.924,2.706e-8,,1.109e-58,2.706e-8
208.925,1.906e-8,,1.109e-58,1.906e-8
208.927,8.354e-9,,1.111e-58,8.354e-9
208.929,3.105e-9,,1.113e-58,3.105e-9
208.93,1.779e-9,,1.113e-58,1.779e-9
208.932,5.163e-10,,1.115e-58,5.163e-10
208.934,1.270e-10,,1.116e-58,1.270e-10
208.935,5.924e-11,,1.117e-58,5.924e-11
208.937,1.138e-11,,1.119e-58,1.138e-11
208.939,1.854e-12,,1.120e-58,1.854e-12
208.94,7.034e-13,,1.121e-58,7.034e-13
208.942,8.947e-14,,1.122e-58,8.947e-14
208.944,9.649e-15,,1.124e-58,9.649e-15
208.945,2.979e-15,,1.125e-58,2.979e-15
208.947,2.508e-16,,1.126e-58,2.508e-16
208.949,1.791e-17,,1.128e-58,1.791e-17
208.95,4.499e-18,,1.129e-58,4.499e-18
208.952,2.508e-19,,1.130e-58,2.508e-19
208.954,1.186e-20,,1.132e-58,1.186e-20
208.955,2.423e-21,,1.132e-58,2.423e-21
208.957,8.944e-23,,1.134e-58,8.944e-23
208.959,2.799e-24,,1.135e-58,2.799e-24
208.96,4.655e-25,,1.136e-58,4.655e-25
208.962,1.138e-26,,1.138e-58,1.138e-26
208.964,2.357e-28,,1.139e-58,2.357e-28
208.965,3.189e-29,,1.140e-58,3.189e-29
208.967,5.160e-31,,1.142e-58,5.160e-31
208.969,7.078e-33,,1.143e-58,7.078e-33
208.97,7.793e-34,,1.144e-58,7.793e-34
208.972,8.347e-36,,1.145e-58,8.347e-36
208.974,7.581e-38,,1.147e-58,7.581e-38
208.975,6.791e-39,,1.148e-58,6.791e-39
208.977,4.816e-41,,1.149e-58,4.816e-41
208.979,2.896e-43,,1.151e-58,2.896e-43
208.98,2.111e-44,,1.152e-58,2.111e-44
208.982,9.909e-47,,1.153e-58,9.909e-47
208.984,3.944e-49,,1.155e-58,3.944e-49
208.985,2.339e-50,,1.155e-58,2.339e-50
208.987,7.271e-53,,1.157e-58,7.271e-53
208.989,1.916e-55,,1.158e-58,1.916e-55
208.99,9.248e-57,,1.159e-58,9.248e-57
208.992,1.903e-59,,1.161e-58,1.903e-59
208.994,3.320e-62,,1.162e-58,3.320e-62
208.995,1.304e-63,,1.163e-58,1.304e-63
208.997,1.776e-66,,1.165e-58,1.776e-66
208.999,2.052e-69,,1.166e-58,2.052e-69
209.184,6.583e-69,,1.308e-58,6.583e-69
209.186,5.571e-66,,1.309e-58,5.571e-66
209.187,1.524e-64,,1.310e-58,1.524e-64
209.189,1.008e-61,,1.311e-58,1.008e-61
209.191,5.654e-59,,1.313e-58,5.654e-59
209.192,1.259e-57,,1.314e-58,1.259e-57
209.194,5.521e-55,,1.315e-58,5.521e-55
209.196,2.054e-52,,1.317e-58,2.054e-52
209.197,3.724e-51,,1.317e-58,3.724e-51
209.199,1.082e-48,,1.319e-58,1.082e-48
209.201,2.669e-46,,1.321e-58,2.669e-46
209.202,3.941e-45,,1.321e-58,3.941e-45
209.204,7.595e-43,,1.323e-58,7.595e-43
209.206,1.242e-40,,1.324e-58,1.242e-40
209.207,1.493e-39,,1.325e-58,1.493e-39
209.209,1.907e-37,,1.327e-58,1.907e-37
209.211,2.067e-35,,1.328e-58,2.067e-35
209.212,2.023e-34,,1.329e-58,2.023e-34
209.214,1.714e-32,,1.330e-58,1.714e-32
209.216,1.231e-30,,1.332e-58,1.231e-30
209.217,9.815e-30,,1.333e-58,9.815e-30
209.219,5.512e-28,,1.334e-58,5.512e-28
209.221,2.626e-26,,1.336e-58,2.626e-26
209.222,1.704e-25,,1.337e-58,1.704e-25
209.224,6.343e-24,,1.338e-58,6.343e-24
209.226,2.003e-22,,1.340e-58,2.003e-22
209.227,1.059e-21,,1.340e-58,1.059e-21
209.229,2.613e-20,,1.342e-58,2.613e-20
209.231,5.471e-19,,1.343e-58,5.471e-19
209.232,2.354e-18,,1.344e-58,2.354e-18
209.234,3.851e-17,,1.346e-58,3.851e-17
209.236,5.346e-16,,1.347e-58,5.346e-16
209.237,1.873e-15,,1.348e-58,1.873e-15
209.239,2.032e-14,,1.350e-58,2.032e-14
209.241,1.870e-13,,1.351e-58,1.870e-13
209.242,5.333e-13,,1.352e-58,5.333e-13
209.244,3.835e-12,,1.353e-58,3.835e-12
209.246,2.340e-11,,1.355e-58,2.340e-11
209.247,5.435e-11,,1.356e-58,5.435e-11
209.249,2.591e-10,,1.357e-58,2.591e-10
209.251,1.048e-9,,1.359e-58,1.048e-9
209.252,1.982e-9,,1.360e-58,1.982e-9
209.254,6.265e-9,,1.361e-58,6.265e-9
209.256,1.680e-8,,1.363e-58,1.680e-8
209.257,2.587e-8,,1.363e-58,2.587e-8
209.259,5.421e-8,,1.365e-58,5.421e-8
209.261,9.639e-8,,1.366e-58,9.639e-8
209.262,1.208e-7,,1.367e-58,1.208e-7
209.264,1.679e-7,,1.369e-58,1.679e-7
209.266,1.979e-7,,1.370e-58,1.979e-7
209.267,2.020e-7,,1.371e-58,2.020e-7
209.269,1.861e-7,,1.373e-58,1.861e-7
209.271,1.454e-7,,1.374e-58,1.454e-7
209.272,1.208e-7,,1.375e-58,1.208e-7
209.274,7.379e-8,,1.376e-58,7.379e-8
209.276,3.823e-8,,1.378e-58,3.823e-8
209.277,2.587e-8,,1.379e-58,2.587e-8
209.279,1.047e-8,,1.380e-58,1.047e-8
209.281,3.597e-9,,1.382e-58,3.597e-9
209.282,1.982e-9,,1.383e-58,1.982e-9
209.284,5.320e-10,,1.384e-58,5.320e-10
209.286,1.211e-10,,1.386e-58,1.211e-10
209.287,5.435e-11,,1.386e-58,5.435e-11
209.289,9.671e-12,,1.388e-58,9.671e-12
209.291,1.460e-12,,1.389e-58,1.460e-12
209.292,5.333e-13,,1.390e-58,5.333e-13
209.294,6.291e-14,,1.392e-58,6.291e-14
209.296,6.296e-15,,1.393e-58,6.296e-15
209.297,1.873e-15,,1.394e-58,1.873e-15
209.299,1.465e-16,,1.396e-58,1.465e-16
209.301,9.719e-18,,1.397e-58,9.719e-18
209.302,2.354e-18,,1.398e-58,2.354e-18
209.304,1.220e-19,,1.399e-58,1.220e-19
209.306,5.368e-21,,1.401e-58,5.368e-21
209.307,1.059e-21,,1.402e-58,1.059e-21
209.309,3.639e-23,,1.403e-58,3.639e-23
209.311,1.061e-24,,1.405e-58,1.061e-24
209.312,1.704e-25,,1.405e-58,1.704e-25
209.314,3.883e-27,,1.407e-58,3.883e-27
209.316,7.508e-29,,1.409e-58,7.508e-29
209.317,9.815e-30,,1.409e-58,9.815e-30
209.319,1.483e-31,,1.411e-58,1.483e-31
209.321,1.901e-33,,1.412e-58,1.901e-33
209.322,2.023e-34,,1.413e-58,2.023e-34
209.324,2.027e-36,,1.415e-58,2.027e-36
209.326,1.722e-38,,1.416e-58,1.722e-38
209.327,1.493e-39,,1.417e-58,1.493e-39
209.329,9.913e-42,,1.418e-58,9.913e-42
209.331,5.585e-44,,1.420e-58,5.585e-44
209.332,3.941e-45,,1.421e-58,3.941e-45
209.334,1.735e-47,,1.422e-58,1.735e-47
209.336,6.481e-50,,1.424e-58,6.481e-50
209.337,3.724e-51,,1.425e-58,3.724e-51
209.339,1.087e-53,,1.426e-58,1.087e-53
209.341,2.691e-56,,1.428e-58,2.691e-56
209.342,1.259e-57,,1.428e-58,1.259e-57
209.344,1.454e-58,,1.430e-58,2.437e-60
209.346,1.103e-55,,1.103e-55,4.000e-63
209.347,2.882e-54,,2.882e-54,1.524e-64
209.349,1.739e-51,,1.739e-51,1.955e-67
209.351,8.899e-49,,8.899e-49,1.975e-67
209.352,1.893e-47,,1.893e-47,1.985e-67
209.354,7.576e-45,,7.576e-45,2.006e-67
209.356,2.573e-42,,2.573e-42,2.026e-67
209.357,4.458e-41,,4.458e-41,2.036e-67
209.359,1.183e-38,,1.183e-38,2.057e-67
209.361,2.666e-36,,2.666e-36,2.077e-67
209.362,3.762e-35,,3.762e-35,2.087e-67
209.364,6.626e-33,,6.626e-33,2.107e-67
209.366,9.902e-31,,9.902e-31,2.128e-67
209.367,1.138e-29,,1.138e-29,2.138e-67
209.369,1.330e-27,,1.330e-27,2.158e-67
209.371,1.318e-25,,1.318e-25,2.179e-67
209.372,1.234e-24,,1.234e-24,2.189e-67
209.374,9.565e-23,,9.565e-23,2.209e-67
209.376,6.290e-21,,6.290e-21,2.230e-67
209.377,4.797e-20,,4.797e-20,2.240e-67
209.379,2.466e-18,,2.466e-18,2.260e-67
209.381,1.076e-16,,1.076e-16,2.280e-67
209.382,6.682e-16,,6.682e-16,2.291e-67
209.384,2.279e-14,,2.279e-14,2.311e-67
209.386,6.596e-13,,6.596e-13,2.331e-67
209.387,3.337e-12,,3.337e-12,2.342e-67
209.389,7.549e-11,,7.549e-11,2.362e-67
209.391,1.449e-9,,1.449e-9,2.382e-67
209.392,5.972e-9,,5.972e-9,2.392e-67
209.394,8.963e-8,,8.963e-8,2.413e-67
209.396,1.142e-6,,1.142e-6,2.433e-67
209.397,3.831e-6,,3.831e-6,2.443e-67
209.399,3.814e-5,,3.814e-5,2.464e-67
209.401,3.223e-4,,3.223e-4,2.484e-67
209.402,8.809e-4,,8.809e-4,2.494e-67
209.404,5.819e-3,,5.819e-3,2.515e-67
209.406,3.261e-2,,3.261e-2,2.535e-67
209.408,1.551e-1,,1.551e-1,2.555e-67
209.409,3.181e-1,,3.181e-1,2.565e-67
209.411,1.183e+0,,1.183e+0,2.586e-67
209.413,3.733e+0,,3.733e+0,2.606e-67
209.414,6.235e+0,,6.235e+0,2.616e-67
209.416,1.538e+1,,1.538e+1,2.637e-67
209.418,3.219e+1,,3.219e+1,2.657e-67
