Wavelength (nm),Sum(calc),Cr I (1.8e-2),Cr II (1.8e-1),Fe I (1.1e-1),Fe II (6.0e-1),Fe III (8.0e-5),Ni I (2.3e-2),Ni II (7.1e-2),Ni III (2.4e-6)
203.17,5.421e+2,,,,5.421e+2,1.515e-6,1.011e-21,,
203.19,9.145e+2,,,,9.145e+2,6.329e-7,9.955e-22,,
203.21,1.296e+3,,,,1.296e+3,2.241e-7,9.799e-22,,
203.22,1.445e+3,,,,1.445e+3,1.289e-7,9.721e-22,,
203.24,1.577e+3,,,,1.577e+3,6.696e-8,9.566e-22,,
203.26,1.445e+3,,,,1.445e+3,1.731e-7,9.410e-22,,
203.27,1.296e+3,,,,1.296e+3,3.480e-7,9.333e-22,,
203.29,9.145e+2,,,,9.145e+2,1.322e-6,9.177e-22,,
203.31,5.421e+2,,,,5.421e+2,4.314e-6,9.022e-22,,
203.32,3.910e+2,,,,3.910e+2,7.346e-6,8.944e-22,,
203.34,1.784e+2,,,,1.784e+2,1.897e-5,8.788e-22,,
203.36,6.841e+1,,,,6.841e+1,4.215e-5,8.633e-22,,
203.37,3.968e+1,,,,3.968e+1,5.946e-5,8.555e-22,,
203.39,1.171e+1,,,,1.171e+1,1.064e-4,8.400e-22,,
203.41,2.913e+0,,,,2.913e+0,1.660e-4,8.244e-22,,
203.42,1.378e+0,,,,1.378e+0,1.975e-4,8.166e-22,,
203.44,4.002e-1,,,,4.000e-1,2.546e-4,8.011e-22,,
203.46,7.770e-1,,,,7.767e-1,2.935e-4,7.855e-22,,
203.47,1.587e+0,,,,1.587e+0,3.041e-4,7.778e-22,,
203.49,6.305e+0,,,,6.304e+0,3.096e-4,7.622e-22,,
203.51,2.125e+1,,,,2.125e+1,3.043e-4,7.467e-22,,
203.52,3.655e+1,,,,3.655e+1,3.020e-4,7.389e-22,,
203.54,9.498e+1,,,,9.498e+1,3.028e-4,7.233e-22,,
203.55,1.435e+2,,,,1.435e+2,3.059e-4,7.156e-22,,
203.57,2.873e+2,,,,2.873e+2,3.121e-4,7.000e-22,,
