Wavelength (nm),Sum(calc),Si I (3.4e-1),Si II (6.6e-1),Si III (3.0e-5)
207.129,2.341e-3,2.704e-20,2.341e-3,2.681e-33
207.134,1.209e-2,2.702e-20,1.209e-2,2.623e-33
207.139,5.561e-2,2.700e-20,5.561e-2,2.564e-33
207.144,2.276e-1,2.698e-20,2.276e-1,2.506e-33
207.149,8.290e-1,2.696e-20,8.290e-1,2.448e-33
207.154,2.688e+0,2.694e-20,2.688e+0,2.390e-33
207.159,7.757e+0,2.693e-20,7.757e+0,2.331e-33
207.164,1.992e+1,2.691e-20,1.992e+1,2.273e-33
207.169,4.555e+1,2.689e-20,4.555e+1,2.215e-33
207.174,9.269e+1,2.687e-20,9.269e+1,2.157e-33
