Wavelength (nm),Sum(calc),Mn I (1.1e-1),Mn II (8.9e-1)
265.78,3.888e+3,,3.888e+3
265.8,2.829e+3,,2.829e+3
265.83,1.916e+3,,1.916e+3
265.85,1.619e+3,,1.619e+3
265.88,1.424e+3,,1.424e+3
265.9,1.360e+3,,1.360e+3
265.92,1.297e+3,,1.297e+3
265.95,1.161e+3,,1.161e+3
265.97,1.038e+3,,1.038e+3
266,8.337e+2,,8.337e+2
266.02,7.086e+2,,7.086e+2
266.05,5.814e+2,,5.814e+2
266.07,5.562e+2,,5.562e+2
266.1,6.243e+2,,6.243e+2
266.12,7.382e+2,,7.382e+2
266.15,9.864e+2,,9.864e+2
266.17,1.177e+3,,1.177e+3
266.2,1.444e+3,,1.444e+3
266.22,1.574e+3,,1.574e+3
266.25,1.653e+3,,1.653e+3
