Wavelength (nm),Sum(calc),Mg I (1.1e-1),Mg II (8.9e-1),Mg III (5.4e-4)
203.91,6.179e-42,4.434e-95,,6.179e-42
203.911,4.238e-41,4.438e-95,,4.238e-41
203.913,1.751e-39,4.445e-95,,1.751e-39
203.915,6.086e-38,4.453e-95,,6.086e-38
203.916,3.362e-37,4.456e-95,,3.362e-37
203.918,9.014e-36,4.464e-95,,9.014e-36
203.92,2.032e-34,4.471e-95,,2.032e-34
203.921,9.043e-34,4.475e-95,,9.043e-34
203.923,1.573e-32,4.482e-95,,1.573e-32
203.925,2.300e-31,4.490e-95,,2.300e-31
203.926,8.244e-31,4.493e-95,,8.244e-31
203.928,9.301e-30,4.501e-95,,9.301e-30
203.93,8.826e-29,4.508e-95,,8.826e-29
203.931,2.548e-28,4.512e-95,,2.548e-28
203.933,1.865e-27,4.519e-95,,1.865e-27
203.935,1.148e-26,4.526e-95,,1.148e-26
203.936,2.669e-26,4.530e-95,,2.669e-26
203.938,1.267e-25,4.537e-95,,1.267e-25
203.94,5.062e-25,4.545e-95,,5.062e-25
203.941,9.480e-25,4.548e-95,,9.480e-25
203.943,2.920e-24,4.556e-95,,2.920e-24
203.945,7.566e-24,4.563e-95,,7.566e-24
203.946,1.141e-23,4.567e-95,,1.141e-23
203.948,2.281e-23,4.574e-95,,2.281e-23
203.95,3.833e-23,4.581e-95,,3.833e-23
203.951,4.657e-23,4.585e-95,,4.657e-23
203.953,6.038e-23,4.593e-95,,6.038e-23
203.955,6.584e-23,4.600e-95,,6.584e-23
203.956,6.443e-23,4.604e-95,,6.443e-23
203.958,5.419e-23,4.611e-95,,5.419e-23
203.96,3.833e-23,4.618e-95,,3.833e-23
203.961,3.021e-23,4.622e-95,,3.021e-23
203.963,1.649e-23,4.629e-95,,1.649e-23
203.965,7.566e-24,4.637e-95,,7.566e-24
203.966,4.803e-24,4.640e-95,,4.803e-24
203.968,1.700e-24,4.648e-95,,1.700e-24
203.97,5.062e-25,4.655e-95,,5.062e-25
203.971,2.588e-25,4.659e-95,,2.588e-25
203.973,5.944e-26,4.666e-95,,5.944e-26
203.975,1.148e-26,4.673e-95,,1.148e-26
203.976,4.728e-27,4.677e-95,,4.728e-27
203.978,7.044e-28,4.684e-95,,7.044e-28
203.98,8.826e-29,4.692e-95,,8.826e-29
203.981,2.928e-29,4.695e-95,,2.928e-29
203.983,2.830e-30,4.703e-95,,2.830e-30
203.985,2.300e-31,4.710e-95,,2.300e-31
203.986,6.146e-32,4.714e-95,,6.146e-32
203.988,3.854e-33,4.721e-95,,3.854e-33
203.99,2.032e-34,4.729e-95,,2.032e-34
203.991,4.373e-35,4.732e-95,,4.373e-35
203.993,1.779e-36,4.740e-95,,1.779e-36
203.995,6.086e-38,4.747e-95,,6.086e-38
203.996,1.055e-38,4.751e-95,,1.055e-38
203.998,2.784e-40,4.758e-95,,2.784e-40
204,6.179e-42,4.765e-95,,6.179e-42
204.001,8.626e-43,4.769e-95,,8.626e-43
204.003,1.477e-44,4.776e-95,,1.477e-44
204.005,2.126e-46,4.784e-95,,2.126e-46
204.006,2.391e-47,4.787e-95,,2.391e-47
204.008,2.656e-49,4.795e-95,,2.656e-49
204.01,2.481e-51,4.802e-95,,2.481e-51
204.011,2.247e-52,4.806e-95,,2.247e-52
204.013,1.619e-54,4.813e-95,,1.619e-54
