Wavelength (nm),Sum(calc),Pb I (1.4e-1),Pb II (8.6e-1)
257.672,1.311e+3,1.311e+3,
257.677,2.846e+3,2.846e+3,
257.682,5.732e+3,5.732e+3,
257.688,1.202e+4,1.202e+4,
257.693,2.052e+4,2.052e+4,
257.698,3.248e+4,3.248e+4,
257.703,4.767e+4,4.767e+4,
257.708,6.491e+4,6.491e+4,
257.713,8.197e+4,8.197e+4,
257.718,9.601e+4,9.601e+4,
257.723,1.043e+5,1.043e+5,
257.728,1.051e+5,1.051e+5,
257.733,9.820e+4,9.820e+4,
257.738,8.512e+4,8.512e+4,
257.743,6.842e+4,6.842e+4,
257.748,5.102e+4,5.102e+4,
257.753,3.528e+4,3.528e+4,
257.758,2.263e+4,2.263e+4,
257.763,1.346e+4,1.346e+4,
257.768,7.427e+3,7.427e+3,
257.773,3.801e+3,3.801e+3,
257.778,1.804e+3,1.804e+3,
257.783,7.941e+2,7.941e+2,
257.788,3.242e+2,3.242e+2,
257.793,1.228e+2,1.228e+2,
257.798,4.312e+1,4.312e+1,
257.803,1.405e+1,1.405e+1,
257.808,4.244e+0,4.244e+0,
257.813,1.189e+0,1.189e+0,
257.818,3.091e-1,3.091e-1,
257.823,7.451e-2,7.451e-2,
257.828,1.666e-2,1.666e-2,
257.833,3.455e-3,3.455e-3,
257.838,6.644e-4,6.644e-4,
257.843,1.185e-4,1.185e-4,
257.848,1.961e-5,1.961e-5,
257.853,3.009e-6,3.009e-6,
257.858,4.283e-7,4.283e-7,
257.863,5.654e-8,5.654e-8,
257.868,6.922e-9,6.922e-9,
257.873,7.860e-10,7.860e-10,
257.878,8.279e-11,8.279e-11,
257.883,8.087e-12,8.087e-12,
257.888,7.327e-13,7.327e-13,
257.893,6.157e-14,6.157e-14,
257.898,4.799e-15,4.799e-15,
257.903,3.469e-16,3.469e-16,
257.908,2.326e-17,2.326e-17,
257.913,1.446e-18,1.446e-18,
257.918,8.341e-20,8.341e-20,
257.923,4.462e-21,4.462e-21,
257.928,2.214e-22,2.214e-22,
257.933,1.019e-23,1.019e-23,
257.938,4.347e-25,4.347e-25,
257.943,1.721e-26,1.721e-26,
257.948,6.318e-28,6.318e-28,
257.953,2.151e-29,2.151e-29,
257.958,6.795e-31,6.795e-31,
257.963,1.990e-32,1.990e-32,
257.968,5.407e-34,5.407e-34,
257.973,1.363e-35,1.363e-35,
261.109,7.468e-38,7.468e-38,
261.114,3.099e-36,3.099e-36,
261.119,1.195e-34,1.195e-34,
261.124,4.284e-33,4.284e-33,
261.129,1.427e-31,1.427e-31,
261.134,4.419e-30,4.419e-30,
261.139,1.272e-28,1.272e-28,
261.144,3.401e-27,3.401e-27,
261.149,8.454e-26,8.454e-26,
261.154,1.953e-24,1.953e-24,
261.159,4.194e-23,4.194e-23,
261.164,8.371e-22,8.371e-22,
261.169,1.553e-20,1.553e-20,
261.174,2.677e-19,2.677e-19,
261.179,4.289e-18,4.289e-18,
261.184,6.388e-17,6.388e-17,
261.189,8.841e-16,8.841e-16,
261.194,1.137e-14,1.137e-14,
261.199,1.360e-13,1.360e-13,
261.204,1.511e-12,1.511e-12,
261.209,1.561e-11,1.561e-11,
261.214,1.498e-10,1.498e-10,
261.219,1.337e-9,1.337e-9,
261.224,1.108e-8,1.108e-8,
261.229,8.542e-8,8.542e-8,
261.234,6.119e-7,6.119e-7,
261.239,4.073e-6,4.073e-6,
261.244,2.520e-5,2.520e-5,
261.249,1.449e-4,1.449e-4,
261.254,7.747e-4,7.747e-4,
261.259,3.848e-3,3.848e-3,
261.264,1.777e-2,1.777e-2,
261.269,7.624e-2,7.624e-2,
261.274,3.041e-1,3.041e-1,
261.279,1.127e+0,1.127e+0,
261.284,3.883e+0,3.883e+0,
261.289,1.243e+1,1.243e+1,
261.294,3.701e+1,3.701e+1,
261.299,1.024e+2,1.024e+2,
261.304,2.631e+2,2.631e+2,
261.309,6.287e+2,6.287e+2,
261.314,1.396e+3,1.396e+3,
261.319,2.882e+3,2.882e+3,
261.324,5.531e+3,5.531e+3,
261.329,9.868e+3,9.868e+3,
261.334,1.638e+4,1.638e+4,
261.339,2.530e+4,2.530e+4,
261.344,3.645e+4,3.645e+4,
261.349,4.916e+4,4.916e+4,
261.354,6.252e+4,6.252e+4,
261.36,7.882e+4,7.882e+4,
261.365,9.400e+4,9.400e+4,
261.37,1.147e+5,1.147e+5,
261.375,1.480e+5,1.480e+5,
261.38,2.030e+5,2.030e+5,
261.385,2.884e+5,2.884e+5,
261.39,4.092e+5,4.092e+5,
261.395,5.620e+5,5.620e+5,
261.4,7.326e+5,7.326e+5,
261.405,8.970e+5,8.970e+5,
261.41,1.026e+6,1.026e+6,
261.415,1.093e+6,1.093e+6,
261.42,1.084e+6,1.084e+6,
261.425,1.000e+6,1.000e+6,
261.43,8.574e+5,8.574e+5,
261.435,6.833e+5,6.833e+5,
261.44,5.062e+5,5.062e+5,
261.445,3.485e+5,3.485e+5,
261.45,2.231e+5,2.231e+5,
261.455,1.327e+5,1.327e+5,
261.46,7.336e+4,7.336e+4,
261.465,3.770e+4,3.770e+4,
261.47,1.800e+4,1.800e+4,
261.475,7.992e+3,7.992e+3,
261.48,3.297e+3,3.297e+3,
261.485,1.265e+3,1.265e+3,
261.49,4.507e+2,4.507e+2,
261.495,1.493e+2,1.493e+2,
261.5,4.598e+1,4.598e+1,
261.505,1.316e+1,1.316e+1,
261.51,3.500e+0,3.500e+0,
261.515,8.653e-1,8.653e-1,
261.52,1.988e-1,1.988e-1,
261.525,4.246e-2,4.246e-2,
261.53,8.429e-3,8.429e-3,
261.535,1.555e-3,1.555e-3,
261.54,2.667e-4,2.667e-4,
261.545,4.251e-5,4.251e-5,
261.55,6.297e-6,6.297e-6,
261.555,8.670e-7,8.670e-7,
261.56,1.110e-7,1.110e-7,
261.565,1.320e-8,1.320e-8,
261.57,1.459e-9,1.459e-9,
261.575,1.499e-10,1.499e-10,
261.58,1.432e-11,1.432e-11,
261.585,1.271e-12,1.271e-12,
261.59,1.049e-13,1.049e-13,
261.595,8.041e-15,8.041e-15,
261.6,5.731e-16,5.731e-16,
261.605,3.797e-17,3.797e-17,
261.61,2.338e-18,2.338e-18,
261.615,1.338e-19,1.338e-19,
261.62,7.115e-21,7.115e-21,
261.625,3.518e-22,3.518e-22,
261.63,1.616e-23,1.616e-23,
261.635,6.903e-25,6.903e-25,
261.64,2.740e-26,2.740e-26,
261.645,1.011e-27,1.011e-27,
261.65,3.466e-29,3.466e-29,
261.655,1.105e-30,1.105e-30,
261.66,3.272e-32,3.272e-32,
261.666,4.354e-34,4.354e-34,
261.671,1.098e-35,1.098e-35,
262.568,1.315e-38,1.315e-38,
262.573,5.312e-37,5.312e-37,
262.578,1.996e-35,1.996e-35,
262.584,1.408e-33,1.408e-33,
262.589,4.511e-32,4.511e-32,
262.594,1.345e-30,1.345e-30,
262.599,3.728e-29,3.728e-29,
262.604,9.614e-28,9.614e-28,
262.609,2.306e-26,2.306e-26,
262.614,5.146e-25,5.146e-25,
262.619,1.068e-23,1.068e-23,
262.624,2.062e-22,2.062e-22,
262.629,3.703e-21,3.703e-21,
262.634,6.186e-20,6.186e-20,
262.639,9.612e-19,9.612e-19,
262.644,1.389e-17,1.389e-17,
262.649,1.868e-16,1.868e-16,
262.654,2.336e-15,2.336e-15,
262.659,2.717e-14,2.717e-14,
262.664,2.939e-13,2.939e-13,
262.669,2.958e-12,2.958e-12,
262.674,2.769e-11,2.769e-11,
262.679,2.412e-10,2.412e-10,
262.684,1.953e-9,1.953e-9,
262.689,1.472e-8,1.472e-8,
262.694,1.031e-7,1.031e-7,
262.699,6.724e-7,6.724e-7,
262.704,4.077e-6,4.077e-6,
262.709,2.300e-5,2.300e-5,
262.714,1.206e-4,1.206e-4,
262.719,5.888e-4,5.888e-4,
262.724,2.673e-3,2.673e-3,
262.729,1.129e-2,1.129e-2,
262.734,4.432e-2,4.432e-2,
262.739,1.619e-1,1.619e-1,
262.744,5.503e-1,5.503e-1,
262.749,1.739e+0,1.739e+0,
262.754,5.114e+0,5.114e+0,
262.759,1.399e+1,1.399e+1,
262.764,3.558e+1,3.558e+1,
262.769,8.420e+1,8.420e+1,
262.774,1.853e+2,1.853e+2,
262.779,3.795e+2,3.795e+2,
262.784,7.227e+2,7.227e+2,
262.789,1.280e+3,1.280e+3,
262.794,2.110e+3,2.110e+3,
262.799,3.233e+3,3.233e+3,
262.804,4.610e+3,4.610e+3,
262.809,6.114e+3,6.114e+3,
262.814,7.542e+3,7.542e+3,
262.819,8.653e+3,8.653e+3,
262.824,9.236e+3,9.236e+3,
262.829,9.169e+3,9.169e+3,
262.834,8.468e+3,8.468e+3,
262.839,7.273e+3,7.273e+3,
262.844,5.812e+3,5.812e+3,
262.849,4.319e+3,4.319e+3,
262.854,2.986e+3,2.986e+3,
262.859,1.920e+3,1.920e+3,
262.864,1.149e+3,1.149e+3,
262.869,6.390e+2,6.390e+2,
262.874,3.307e+2,3.307e+2,
262.879,1.592e+2,1.592e+2,
262.884,7.129e+1,7.129e+1,
262.89,2.471e+1,2.471e+1,
262.895,9.435e+0,9.435e+0,
262.9,3.351e+0,3.351e+0,
262.905,1.107e+0,1.107e+0,
262.91,3.403e-1,3.403e-1,
262.915,9.728e-2,9.728e-2,
262.92,2.587e-2,2.587e-2,
262.925,6.398e-3,6.398e-3,
262.93,1.472e-3,1.472e-3,
262.935,3.150e-4,3.150e-4,
262.94,6.271e-5,6.271e-5,
262.945,1.161e-5,1.161e-5,
262.95,2.000e-6,2.000e-6,
262.955,3.204e-7,3.204e-7,
262.96,4.775e-8,4.775e-8,
262.965,6.619e-9,6.619e-9,
262.97,8.534e-10,8.534e-10,
262.975,1.024e-10,1.024e-10,
262.98,1.142e-11,1.142e-11,
262.985,1.185e-12,1.185e-12,
262.99,1.144e-13,1.144e-13,
262.995,1.027e-14,1.027e-14,
263,8.577e-16,8.577e-16,
263.005,6.663e-17,6.663e-17,
263.01,4.815e-18,4.815e-18,
263.015,3.236e-19,3.236e-19,
263.02,2.023e-20,2.023e-20,
263.025,1.177e-21,1.177e-21,
263.03,6.365e-23,6.365e-23,
263.035,3.203e-24,3.203e-24,
263.04,1.499e-25,1.499e-25,
263.045,6.526e-27,6.526e-27,
263.05,2.643e-28,2.643e-28,
263.055,9.956e-30,9.956e-30,
263.06,3.488e-31,3.488e-31,
263.065,1.137e-32,1.137e-32,
263.07,3.447e-34,3.447e-34,
263.075,9.720e-36,9.720e-36,
263.08,2.550e-37,2.550e-37,
266.055,1.083e-36,1.083e-36,
266.06,4.086e-35,4.086e-35,
266.065,1.437e-33,1.437e-33,
266.07,4.709e-32,4.709e-32,
266.075,1.438e-30,1.438e-30,
266.08,4.094e-29,4.094e-29,
266.085,1.086e-27,1.086e-27,
266.09,2.685e-26,2.685e-26,
266.095,6.186e-25,6.186e-25,
266.1,1.328e-23,1.328e-23,
266.105,2.657e-22,2.657e-22,
266.11,4.955e-21,4.955e-21,
266.115,8.611e-20,8.611e-20,
266.12,1.394e-18,1.394e-18,
266.125,2.105e-17,2.105e-17,
266.13,2.960e-16,2.960e-16,
266.135,3.880e-15,3.880e-15,
266.14,4.739e-14,4.739e-14,
266.145,5.395e-13,5.395e-13,
266.15,5.724e-12,5.724e-12,
266.155,5.659e-11,5.659e-11,
266.16,5.214e-10,5.214e-10,
266.165,4.477e-9,4.477e-9,
266.17,3.582e-8,3.582e-8,
266.175,2.672e-7,2.672e-7,
266.18,1.857e-6,1.857e-6,
266.185,1.202e-5,1.202e-5,
266.19,7.258e-5,7.258e-5,
266.195,4.082e-4,4.082e-4,
266.2,2.140e-3,2.140e-3,
266.205,1.045e-2,1.045e-2,
266.21,4.760e-2,4.760e-2,
266.215,2.019e-1,2.019e-1,
266.22,7.984e-1,7.984e-1,
266.225,2.942e+0,2.942e+0,
266.23,1.010e+1,1.010e+1,
266.235,3.233e+1,3.233e+1,
266.24,9.643e+1,9.643e+1,
266.245,2.680e+2,2.680e+2,
266.25,6.942e+2,6.942e+2,
266.256,1.982e+3,1.982e+3,
266.261,4.396e+3,4.396e+3,
266.266,9.086e+3,9.086e+3,
266.271,1.750e+4,1.750e+4,
266.276,3.142e+4,3.142e+4,
266.281,5.257e+4,5.257e+4,
266.286,8.196e+4,8.196e+4,
266.291,1.191e+5,1.191e+5,
266.296,1.613e+5,1.613e+5,
266.301,2.035e+5,2.035e+5,
266.306,2.393e+5,2.393e+5,
266.311,2.623e+5,2.623e+5,
266.316,2.679e+5,2.679e+5,
266.321,2.550e+5,2.550e+5,
266.326,2.262e+5,2.262e+5,
266.331,1.870e+5,1.870e+5,
266.336,1.441e+5,1.441e+5,
266.341,1.034e+5,1.034e+5,
266.346,6.921e+4,6.921e+4,
266.351,4.315e+4,4.315e+4,
266.356,2.508e+4,2.508e+4,
266.361,1.358e+4,1.358e+4,
266.366,6.853e+3,6.853e+3,
266.371,3.223e+3,3.223e+3,
266.376,1.413e+3,1.413e+3,
266.381,5.771e+2,5.771e+2,
266.386,2.197e+2,2.197e+2,
266.391,7.794e+1,7.794e+1,
266.396,2.577e+1,2.577e+1,
266.401,7.939e+0,7.939e+0,
266.406,2.279e+0,2.279e+0,
266.411,6.099e-1,6.099e-1,
266.416,1.521e-1,1.521e-1,
266.421,3.535e-2,3.535e-2,
266.426,7.656e-3,7.656e-3,
266.431,1.545e-3,1.545e-3,
266.436,2.906e-4,2.906e-4,
266.441,5.095e-5,5.095e-5,
266.446,8.323e-6,8.323e-6,
