Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,,
K I , ,  ,4.38E+04,33 572.1249   , 3/2 ,,,,,,,,,,,,,,
K I ,486.9757,9,2.61E+05,33 572.0592   , 5/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,493.875,3,4.29E+07,215 014.6      ,1,,,,,,,,,,,,,,
K I ,494.2002, 8bl ,2.69E+05,33 214.2267   , 1/2 ,,,,,,,,,,,,,,
K II ,494.324,6,1.25E+07,186 681.4      ,2,,,,,,,,,,,,,,
K I ,495.0815,9,2.69E+05,33 178.2324   , 3/2 ,,,,,,,,,,,,,,
K I ,495.61461,9,5.32E+05,33 214.2267   , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K I , ,  ,5.56E+04,33 178.2324   , 3/2 ,,,,,,,,,,,,,,
K I ,496.5031,10,3.36E+05,33 178.1339   , 5/2 ,,,,,,,,,,,,,,
K II ,500.56,8,1.11E+08,183 204.1      ,1,,,,,,,,,,,,,,
K II ,505.627,7,3.28E+07,183 204.1      ,1,,,,,,,,,,,,,,
K I ,508.4226,10,4.07E+05,32 648.3511   , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K I ,509.7171,11,3.39E+05,32 598.4437   , 3/2 ,,,,,,,,,,,,,,
K I ,509.92,11,8.06E+05,32 648.3511   , 1/2 ,,,,,,,,,,,,,,
K I , ,  ,7.01E+04,32 598.4437   , 3/2 ,,,,,,,,,,,,,,
K I ,511.2249,12,4.22E+05,32 598.2881   , 5/2 ,,,,,,,,,,,,,,
K XII ,527.72,  ,1.50E+02,18 944        ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,531.024,5,1.50E+07,189 657.4      ,2,,,,,,,,,,,,,,
K I ,532.3276,12,6.62E+05,31 765.3767   , 1/2 ,,,,,,,,,,,,,,
K I ,533.9688,13,1.31E+06,31 765.3767   , 1/2 ,,,,,,,,,,,,,,
K I ,534.297,12,3.86E+05,31 696.1661   , 3/2 ,,,,,,,,,,,,,,
K I , ,  ,8.10E+04,31 696.1661   , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K I ,535.9574,14,4.86E+05,31 695.9005   , 5/2 ,,,,,,,,,,,,,,
K II ,547.013,6,2.07E+07,183 204.1      ,1,,,,,,,,,,,,,,
K II ,548.806,2,2.63E+07,212 988.6      ,1,,,,,,,,,,,,,,
K II ,551.269,2,2.06E+06,189 657.4      ,2,,,,,,,,,,,,,,
K II ,553.601,3,2.11E+06,183 204.1      ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K VI , ,  ,5.40E-01,18 977.8      ,2,,,,,,,,,,,,,,
K II ,564.273,5,1.38E+07,189 239.5      ,1,,,,,,,,,,,,,,
K II ,577.232,4,8.32E+06,188 150.3      ,2,,,,,,,,,,,,,,
K I ,578.2384,16,1.19E+06,30 274.2487   , 1/2 ,,,,,,,,,,,,,,
K I ,580.1752,17,2.35E+06,30 274.2487   , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K I ,581.2148,15,2.86E+05,30 185.7476   , 3/2 ,,,,,,,,,,,,,,
K I , ,  ,6.13E+04,30 185.7476   , 3/2 ,,,,,,,,,,,,,,
K I ,583.1887,17,3.71E+05,30 185.2439   , 5/2 ,,,,,,,,,,,,,,
K II ,596.964,2,1.35E+06,183 204.1      ,1,,,,,,,,,,,,,,
K II ,601.241,1,1.19E+06,188 150.3      ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K IV ,610.183,  ,8.39E-01,16 384.0      ,2,,,,,,,,,,,,,,
K II ,612.027,8,1.68E+08,186 383.8      ,3,,,,,,,,,,,,,,
K VI , ,  ,1.17E+00,18 977.8      ,2,,,,,,,,,,,,,,
K II ,624.659,6,6.13E+07,187 527.0      ,1,,,,,,,,,,,,,,
K II ,630.729,7,8.91E+07,186 681.4      ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K V , ,  ,1.20E+00,39 758.1      , 1/2 ,,,,,,,,,,,,,,
K V , ,  ,3.00E-01,39 758.1      , 1/2 ,,,,,,,,,,,,,,
K II ,642.796,5,1.56E+07,186 383.8      ,3,,,,,,,,,,,,,,
K V , ,  ,1.90E-01,39 758.1      , 1/2 ,,,,,,,,,,,,,,
K II ,659.5,2,1.18E+07,186 681.4      ,2,,,,,,,,,,,,,,
