Ion, Observed , Rel. , Aki, Ek ,J
Fe II ,207.81607,7000,2.80E+06,63 948.803  , 9/2 
Fe II ,207.84064,500, ,108 539.473  , 5/2 
Fe III ,207.8721,2200,8.00E+06,134 938.17   ,2
Fe II ,207.89504,1300, ,109 811.940  , 9/2 
 , , , , , 
Fe III ,207.899,1200000,4.70E+08,89 085.20   ,3
Fe III ,207.9295,24000,2.40E+07,141 466.65   ,3
Fe II ,207.94912,400,1.10E+06,108 518.643  , 7/2 
Fe III ,208.0232,33000,8.00E+07,141 469.38   ,1
Fe II ,208.024296,33000,1.90E+07,64 425.405  , 5/2 
 , , , , , 
Fe II ,208.0356,1900, ,98 196.137  , 3/2 
Fe II ,208.0464, 180d? , ,114 428.410  , 7/2 
Fe II ,208.1295,1500, ,63 876.325  , 11/2 
Fe II ,208.1653, 240d? , ,108 648.712  , 13/2 
Fe II ,208.19, 320d? ,2.00E+06,106 649.452  , 11/2 
 , , , , , 
Fe III ,208.2377,13000,4.40E+07,141 399.18   ,2
Fe III ,208.2792,2900,1.10E+07,145 038.62   ,3
Fe III ,208.3019,880, ,118 686.41   ,4
Fe III ,208.311,2200,1.40E+07,165 939.83   ,5
Fe III ,208.3222,870, ,132 659.48   ,4
 , , , , , 
Fe II ,208.3358, 500d? ,6.40E+06,92 899.306  , 5/2 
Fe II ,208.352,800, ,75 600.900  , 7/2 
Fe III ,208.3542,43000,1.50E+08,137 763.58   ,5
Fe II ,208.40161,1100, ,108 239.375  , 7/2 
Fe III ,208.4021,7100,2.10E+08,178 826.15   ,1
 , , , , , 
Fe I ,208.41212,890, ,47 966.585  ,3
Fe III ,208.4225,13000,8.00E+07,178 826.15   ,1
Fe III ,208.4365,140000,4.10E+08,118 686.41   ,4
Fe II ,208.4518," 500d,bl(Fe III)? ", ,86 416.370  , 7/2 
Fe III ,208.4534, 24000* ,2.00E+07,118 686.41   ,4
 , , , , , 
Fe III ,208.4534, 24000* ,1.10E+08,178 826.15   ,1
Fe III ,208.4667,870, ,141 466.65   ,3
Fe II ,208.4962,1500,2.10E+06,108 217.596  , 9/2 
Fe III ,208.4969,43000, ,124 904.09   ,2
Fe II ,208.502, 1400bl(Fe I) ,1.10E+06,73 751.276  , 9/2 
 , , , , , 
Fe I ,208.502, (4)bl , ,48 361.882  ,4
Fe II ,208.5711, 210bl(Fe I) , ,114 307.099  , 5/2 
Fe I ,208.5712,0, ,47 929.997  ,4
Fe III ,208.5846,23000,1.00E+08,144 968.41   ,4
Fe II ,208.5865,1300,2.00E+06,78 690.860  , 5/2 
 , , , , , 
Fe II ,208.59213,1100,2.30E+07,110 008.310  , 9/2 
Fe III ,208.6135,13000, ,132 080.04   ,3
Fe II ,208.6282,1700, ,64 286.354  , 7/2 
Fe III ,208.7144,57000,3.70E+08,124 854.11   ,3
Fe II ,208.7148,290, ,121 863.975  , 13/2 
 , , , , , 
Fe I ,208.7511,78, ,48 304.643  ,2
Fe II ,208.754136,50000,1.40E+08,66 248.647  , 1/2 
Fe II ,208.7587,270, ,109 474.060  , 9/2 
Fe III ,208.7917,42000,3.00E+08,124 955.09   ,1
Fe II ,208.8034, 180d? , ,114 399.170  , 3/2 
 , , , , , 
Fe II ,208.8631," 180d,bl(Fe III)? ", ,114 475.826  , 5/2 
Fe III ,208.8631,23000,1.80E+07,118 557.32   ,5
Fe II ,208.8837,2100, ,61 332.753  , 3/2 
Fe III ,208.9091,23000, ,124 955.09   ,1
Fe II ,208.9097," 180d,bl(Fe III)? ", ,114 464.872  , 3/2 
 , , , , , 
Fe II ,208.98122,400,1.00E+07,109 901.523  , 7/2 
Fe I ,208.98738,9, ,47 834.550  ,5
Fe III ,209.0055,30000, ,137 528.06   ,4
Fe III ,209.0154, 250000* ,7.00E+07,124 904.09   ,2
Fe III ,209.0154, 250000* ,4.10E+08,118 557.32   ,5
 , , , , , 
Fe III ,209.0268,41000,7.30E+07,117 521.99   ,4
Fe I ,209.03831,117, ,48 238.847  ,2
Fe II ,209.0571, 260? , ,109 901.523  , 7/2 
Fe I ,209.08546, 54bl* , ,48 516.138  ,1
Fe I ,209.08546, 54bl* , ,47 812.118  ,4
 , , , , , 
Fe III ,209.1325,55000,2.50E+08,124 904.09   ,2
Fe III ,209.1485,16000,2.10E+07,131 445.12   ,2
Fe II ,209.153,1200,8.00E+05,73 966.843  , 13/2 
Fe II ,209.16431,700,1.00E+06,108 239.375  , 7/2 
Fe III ,209.1672,2700,3.80E+08,178 655.54   ,0
 , , , , , 
Fe II ,209.20126,1100,1.80E+07,108 775.110  , 11/2 
Fe II ,209.22401,500, ,110 609.548  , 3/2 
Fe II ,209.26026,1700,2.40E+07,108 929.031  , 9/2 
Fe III ,209.2956,40000,2.10E+08,138 187.96   ,3
Fe II ,209.30896,500,1.70E+06,108 648.712  , 13/2 
 , , , , , 
Fe III ,209.3513,22000, ,124 854.11   ,3
Fe II ,209.36251,14000,2.10E+07,78 137.404  , 7/2 
Fe I ,209.36846,560, ,48 163.446  ,2
Fe II ,209.3924,500, ,83 868.450  , 5/2 
Fe III ,209.4232,1100, ,132 105.12   ,2
 , , , , , 
Fe II ,209.46335,5000,5.00E+06,66 612.659  , 3/2 
Fe II ,209.49799,6000,3.10E+06,64 087.408  , 5/2 
Fe III ,209.4989,12000, ,118 443.27   ,3
Fe III ,209.5091,1100, ,138 187.96   ,3
Fe III ,209.5148,12000, ,118 443.27   ,3
 , , , , , 
Fe III ,209.5336,16000,7.00E+06,132 080.04   ,3
Fe I ,209.54639,16, ,48 122.928  ,3
Fe III ,209.5604,16000, ,138 187.96   ,3
Fe II ,209.56691,1000, ,108 086.672  , 1/2 
Fe III ,209.5697,21000,2.70E+07,134 549.01   ,3
 , , , , , 
Fe II ,209.59337,1100, ,107 966.642  , 9/2 
Fe II ,209.63925,900,1.00E+07,110 008.310  , 9/2 
Fe II ,209.64174,500, ,108 130.542  , 5/2 
Fe III ,209.6438,29000,2.50E+07,117 521.99   ,4
Fe II ,209.6546,1000, ,61 156.827  , 7/2 
 , , , , , 
Fe II ,209.6954, 700d? ,9.00E+06,92 602.711  , 7/2 
Fe II ,209.70234,4000,1.07E+06,64 040.891  , 7/2 
Fe II ,209.71919,220,3.80E+06,108 709.424  , 7/2 
Fe II ,209.74049,4000,2.70E+06,73 091.630  , 9/2 
Fe II ,209.7495, 2000bl(Fe III) , ,68 000.785  , 9/2 
 , , , , , 
Fe III ,209.7497,1000000,4.75E+08,118 355.20   ,6
Fe II ,209.75496,7000,5.00E+06,61 332.753  , 3/2 
Fe III ,209.7711,230000,4.19E+08,118 350.42   ,4
Fe III ,209.7879,21000,2.30E+07,135 554.39   ,4
Fe I ,209.81196,14, ,48 350.606  ,1
 , , , , , 
Fe II ,209.81622,2300, ,108 086.672  , 1/2 
Fe II ,209.8374," 230d,bl? ", ,108 630.427  , 11/2 
Fe III ,209.883,2600,1.60E+07,138 103.16   ,4
Fe I ,209.89388,58, ,48 516.138  ,1
Fe II ,209.9143, 180d? , ,114 212.377  , 7/2 
 , , , , , 
Fe III ,209.9233,15000, ,118 350.42   ,4
Fe II ,209.92547,500,6.40E+06,108 577.597  , 9/2 
Fe II ,209.9342, 800d , ,61 093.406  , 5/2 
Fe III ,209.9348,38000, ,138 103.16   ,4
Fe II ,209.9428, 1900d? ,9.00E+05,73 969.761  , 11/2 
 , , , , , 
Fe II ,209.9491, 1700d? ,6.20E+06,83 868.450  , 5/2 
Fe III ,209.9554,760,1.50E+07,141 002.97   ,4
Fe I ,209.96659,3, ,60 172.464  ,3
Fe III ,209.9712,760,2.60E+06,141 002.97   ,4
Fe I ,209.9904,6, ,47 606.114  ,5
 , , , , , 
Fe III ,209.9941,760, ,131 035.14   ,7
Fe I ,210.01462, 23bl , ,48 304.643  ,2
Fe II ,210.01658,1100,1.50E+07,109 683.303  , 11/2 
Fe I ,210.0614, 0d? , ,47 590.048  ,4
Fe II ,210.0697,600,5.70E+06,108 577.597  , 9/2 
 , , , , , 
Fe I ,210.07977,251, ,48 289.871  ,1
Fe III ,210.098,37000, ,138 054.60   ,5
Fe II ,210.10269,500,9.00E+06,108 387.934  , 11/2 
Fe II ,210.10974,1500,5.40E+07,109 901.523  , 7/2 
Fe II ,210.12203,800,1.30E+07,108 463.918  , 13/2 
 , , , , , 
Fe II ,210.2048, 500d? , ,86 416.370  , 7/2 
Fe II ,210.22671,500,9.00E+06,108 709.424  , 7/2 
Fe I ,210.23536,282, ,47 966.585  ,3
Fe II ,210.24629,500,1.00E+07,108 537.623  , 7/2 
Fe II ,210.27321,1600,5.10E+07,109 625.216  , 9/2 
 , , , , , 
Fe V , ,  ,5.90E+00,93 832.5    ,2
Fe I ,210.29104,39, ,48 516.138  ,1
Fe III ,210.2989,740, ,136 200.07   ,3
Fe I ,210.30529,115, ,48 238.847  ,2
Fe I ,210.30607, () , ,60 095.599  ,4
 , , , , , 
Fe III ,210.366, 20000* , ,118 246.74   ,3
Fe III ,210.366, 20000* , ,136 185.16   ,5
Fe III ,210.3818,49000, ,118 246.74   ,3
Fe I ,210.3972,6, ,47 929.997  ,4
Fe II ,210.40346,500,6.00E+06,107 176.093  , 1/2 
 , , , , , 
Fe III ,210.4066, 730p , ,137 209.90   ,4
Fe II ,210.4066,800,3.80E+06,92 426.967  , 9/2 
Fe II ,210.42401,800,1.40E+07,108 133.473  , 13/2 
Fe II ,210.44056,1700, ,70 314.624  , 9/2 
Fe II ,210.44222,800,1.00E+07,108 391.507  , 9/2 
 , , , , , 
Fe II ,210.45083,2200, ,107 947.255  , 3/2 
Fe II ,210.45845,2000,1.70E+07,108 337.798  , 15/2 
Fe III ,210.5023, 19000* , ,136 185.16   ,5
Fe III ,210.5023, 19000* ,7.60E+07,141 002.97   ,4
Fe II ,210.52334,400,5.10E+06,108 642.450  , 5/2 
 , , , , , 
Fe II ,210.55965,800, ,110 167.303  , 7/2 
Fe II ,210.5698, 220d? ,1.90E+06,109 449.894  , 3/2 
Fe II ,210.5791, 1800d? , ,79 284.919  , 5/2 
Fe II ,210.60977,700, ,110 428.305  , 5/2 
Fe I ,210.626,54, ,48 350.606  ,1
 , , , , , 
Fe III ,210.6362,7900,3.60E+07,144 501.78   ,2
Fe I ,210.63947,363, ,48 163.446  ,2
Fe II ,210.64339,400, ,107 728.935  , 5/2 
Fe II ,210.64962,220,1.20E+07,108 613.977  , 5/2 
Fe I ,210.6693, 0? , ,47 452.717  ,4
 , , , , , 
Fe II ,210.71425,400, ,107 826.940  , 3/2 
Fe III ,210.7327,98000,4.40E+08,118 163.70   ,2
Fe II ,210.7553,13000,1.30E+07,73 603.537  , 11/2 
Fe II ,210.7748,500,2.70E+06,92 358.625  , 3/2 
Fe II ,210.7796,2900, ,61 332.753  , 3/2 
 , , , , , 
Fe II ,210.81368, 6000bl(Fe I) , ,61 093.406  , 5/2 
Fe I ,210.8137, 37bl , ,47 420.228  ,5
Fe I ,210.81937,7, ,48 122.928  ,3
Fe III ,210.822,4400, ,134 265.49   ,2
Fe I ,210.83027,34, ,48 304.643  ,2
 , , , , , 
Fe II ,210.8668," 220d,bl(Fe III)? ", ,109 474.060  , 9/2 
Fe III ,210.8679,15000,3.70E+07,132 080.04   ,3
Fe II ,210.8882," 230d,bl(Fe II)?* ", ,113 867.242  , 11/2 
Fe II ,210.8882," 230d,bl(Fe II)?* ", ,109 486.551  , 11/2 
Fe I ,210.8959,302, ,48 289.871  ,1
 , , , , , 
Fe II ,210.89982,280, ,109 449.894  , 3/2 
Fe II ,210.91032, 11000bl(Fe II)* ,1.90E+07,73 751.276  , 9/2 
Fe II ,210.91032, 11000bl(Fe II)* ,9.00E+05,108 387.934  , 11/2 
Fe II ,210.94758,400,5.80E+06,109 683.303  , 11/2 
Fe II ,210.98528,1500, ,107 826.940  , 3/2 
 , , , , , 
Fe II ,210.98916,400, ,108 537.623  , 7/2 
Fe I ,211.02353,105, ,54 301.340  ,4
Fe II ,211.03095,1100,3.00E+07,95 046.177  , 5/2 
Fe II ,211.0441,2600, ,61 041.734  , 5/2 
Fe II ,211.0484, 700d? , ,92 282.470  , 7/2 
 , , , , , 
Fe II ,211.05426,900, ,107 750.540  , 1/2 
Fe II ,211.07342,16000,5.90E+07,66 248.647  , 1/2 
Fe II ,211.1136, 500d? ,1.30E+06,92 282.470  , 7/2 
Fe I ,211.12322,17, ,48 238.847  ,2
Fe II ,211.15307,800,1.10E+07,108 181.564  , 11/2 
 , , , , , 
Fe III ,211.1797, 8900* ,3.20E+06,140 750.86   ,2
Fe III ,211.1797, 8900* , ,135 239.84   ,4
Fe II ,211.1798,1200, ,73 143.346  , 7/2 
Fe III ,211.2285,3600,1.30E+06,130 756.91   ,6
Fe III ,211.2499,9200, ,139 846.19   ,6
 , , , , , 
Fe I ,211.29687,155, ,48 289.871  ,1
Fe I ,211.30871,47, ,54 237.415  ,4
Fe III ,211.3347,14000,5.20E+07,139 827.18   ,4
Fe II ,211.3677,700,5.20E+06,108 133.473  , 13/2 
Fe II ,211.3859," 1800d,bl(Fe II)?* ", ,109 463.670  , 7/2 
 , , , , , 
Fe II ,211.3859," 1800d,bl(Fe II)?* ",4.00E+06,74 606.864  , 5/2 
Fe III ,211.3894, 22000* ,7.00E+06,137 763.58   ,5
Fe III ,211.3894, 22000* ,1.40E+08,144 332.23   ,4
Fe II ,211.38955,400, ,107 736.321  , 3/2 
Fe II ,211.4088,800,1.00E+07,92 216.391  , 3/2 
 , , , , , 
Fe III ,211.4342,4600, ,121 008.91   ,3
Fe II ,211.4462," 200d,bl(Ni I)? ", ,113 867.242  , 11/2 
Fe I ,211.45995,115, ,48 163.446  ,2
Fe I ,211.51699,59, ,47 966.585  ,3
Fe II ,211.5439,800,5.30E+06,92 171.690  , 9/2 
 , , , , , 
Fe II ,211.55156,1000, ,107 525.187  , 5/2 
Fe II ,211.5701, 600bl(Fe II)* , ,73 603.537  , 11/2 
Fe II ,211.5701, 600bl(Fe II)* , ,97 326.503  , 3/2 
Fe II ,211.59182,300, ,108 133.473  , 13/2 
Fe II ,211.63507,160, ,116 338.649  , 5/2 
 , , , , , 
Fe II ,211.64815,160, ,116 335.731  , 3/2 
Fe III ,211.659, 23000* , ,117 068.82   ,3
Fe III ,211.659, 23000* ,3.60E+07,117 068.82   ,3
Fe II ,211.699122,19000,1.90E+07,72 650.698  , 9/2 
Fe II ,211.7488,1400,1.10E+06,73 016.184  , 7/2 
 , , , , , 
Fe I ,211.7798, 0d? , ,60 172.464  ,3
Fe II ,211.81974,10000,3.50E+06,68 000.785  , 9/2 
Fe III ,211.8418,9100, ,116 937.86   ,1
Fe II ,211.85159,600,5.30E+06,108 775.110  , 11/2 
Fe III ,211.857,14000,3.50E+07,116 975.21   ,2
 , , , , , 
Fe II ,211.90479,13000,4.20E+06,67 516.328  , 11/2 
Fe I ,211.91365,8, ,47 590.048  ,4
Fe II ,211.95863,600, ,107 605.127  , 3/2 
Fe II ,212.0224, 210d? , ,109 811.940  , 9/2 
Fe III ,212.0241,8500,1.00E+07,116 937.86   ,1
 , , , , , 
Fe III ,212.077, 5400* , ,116 975.21   ,2
Fe III ,212.077, 5400* , ,137 561.18   ,1
Fe III ,212.077, 5400* , ,116 975.21   ,2
Fe II ,212.1059, 290d? , ,107 572.279  , 5/2 
Fe II ,212.1101,2000, ,61 035.285  , 1/2 
 , , , , , 
Fe II ,212.1253, 290d , ,107 572.279  , 5/2 
Fe II ,212.18325,320, ,107 498.510  , 3/2 
Fe I ,212.18687,16, ,59 089.628  ,3
Fe II ,212.2024, 600bl(Fe III) , ,73 091.630  , 9/2 
Fe III ,212.2024,8000, ,116 898.44   ,2
 , , , , , 
Fe I ,212.21784,5, ,47 106.484  ,4
Fe II ,212.232,210, ,110 065.766  , 5/2 
Fe II ,212.24544,2700,4.80E+05,62 945.045  , 7/2 
Fe I ,212.2799,9, ,47 092.712  ,3
Fe I ,212.2957, 0d? , ,54 017.581  ,4
 , , , , , 
Fe I ,212.31244,4, ,54 013.752  ,5
Fe II ,212.3167,600, ,107 529.849  , 7/2 
Fe II ,212.31848,240, ,107 525.187  , 5/2 
Fe II ,212.33784,600, ,107 525.187  , 5/2 
Fe III ,212.3593,32000,7.00E+07,131 445.12   ,2
 , , , , , 
Fe II ,212.3679,600, ,73 054.913  , 5/2 
Fe II ,212.38159,900, ,107 454.552  , 1/2 
Fe III ,212.4078,2700, ,140 453.14   ,3
Fe II ,212.40863,800,2.40E+07,108 105.938  , 3/2 
Fe II ,212.42072,600,1.20E+06,108 648.712  , 13/2 
 , , , , , 
Fe III ,212.4228, 4800* , ,116 898.44   ,2
Fe III ,212.4228, 4800* ,2.80E+06,140 453.14   ,3
Fe III ,212.4228, 4800* , ,137 544.70   ,2
Fe II ,212.4389,600, ,107 498.510  , 3/2 
Fe I ,212.45014,9, ,53 983.293  ,5
 , , , , , 
Fe II ,212.47239,400, ,110 609.548  , 3/2 
Fe III ,212.4979, 3700* ,2.40E+06,144 085.98   ,4
Fe III ,212.4979, 3700* , ,137 528.06   ,4
Fe II ,212.51681,1900,2.40E+07,95 079.342  , 7/2 
Fe III ,212.5173,5900, ,140 453.14   ,3
 , , , , , 
Fe I ,212.5324, (0)? , ,47 452.717  ,4
Fe II ,212.5324," 150d,bl(Fe I)? ", ,116 338.649  , 5/2 
Fe II ,212.5428,1400, ,73 016.184  , 7/2 
Fe II ,212.5696," 240d,bl(Ar I) ", ,107 430.742  , 3/2 
Fe II ,212.5725,900, ,107 298.265  , 5/2 
 , , , , , 
Fe II ,212.58572,600,8.00E+06,108 537.623  , 7/2 
Fe II ,212.62103, 5000bl(Fe I) , ,69 427.014  , 1/2 
Fe I ,212.62105,14, ,47 017.188  ,3
Fe II ,212.63764,800, ,107 454.552  , 1/2 
Fe II ,212.64203,2000,2.60E+07,108 105.938  , 3/2 
 , , , , , 
Fe I ,212.66093,8, ,47 008.371  ,5
Fe I ,212.68164,2, ,47 419.687  ,2
Fe II ,212.7009,1400,1.40E+06,73 054.913  , 5/2 
Fe II ,212.74298,500,4.50E+06,108 337.798  , 15/2 
Fe I ,212.7474,15, ,47 693.239  ,3
 , , , , , 
Fe II ,212.7603, 700bl(Fe II)* , ,74 606.864  , 5/2 
Fe II ,212.7603, 700bl(Fe II)* , ,108 712.415  , 5/2 
Fe III ,212.7637,2300, ,139 509.44   ,5
Fe I ,212.78644,16, ,54 357.405  ,3
Fe I ,212.7969, 1bl , ,54 706.387  ,2
 , , , , , 
Fe II ,212.79719,10000,1.90E+07,77 742.736  , 5/2 
Fe II ,212.8375,600, ,69 606.567  , 7/2 
Fe II ,212.86575,400, ,110 428.305  , 5/2 
Fe II ,212.8768, 600d? , ,73 016.184  , 7/2 
Fe II ,212.89588,320,4.30E+06,109 901.523  , 7/2 
 , , , , , 
Fe III ,212.9241,2200,2.00E+06,137 422.88   ,3
Fe III ,212.9685,8000,2.40E+07,140 453.14   ,3
Fe II ,212.98737,400,3.70E+06,108 463.918  , 13/2 
Fe II ,213.02564,8000,3.90E+06,60 402.333  , 5/2 
Fe II ,213.03099,500, ,107 197.107  , 7/2 
 , , , , , 
Fe II ,213.03244,700, ,107 371.685  , 5/2 
Fe I ,213.04075,8, ,54 301.340  ,4
Fe I ,213.04404,5, ,53 852.114  ,4
Fe II ,213.05493,13000,1.40E+07,73 091.630  , 9/2 
Fe III ,213.0831,3100,2.50E+06,136 612.84   ,4
 , , , , , 
Fe I ,213.09658,151, ,54 289.034  ,3
Fe II ,213.17325,1300, ,107 165.760  , 7/2 
Fe II ,213.17803,500, ,110 167.303  , 7/2 
Fe II ,213.18187,600, ,107 163.871  , 5/2 
Fe III ,213.1953,2900,2.60E+06,135 554.39   ,4
 , , , , , 
Fe I ,213.20171,510,7.60E+06,46 889.142  ,4
Fe III ,213.2092,1400, ,135 582.12   ,6
Fe II ,213.2482," 500d,bl(Fe II)* ", ,78 690.860  , 5/2 
Fe II ,213.2482," 500d,bl(Fe II)* ", ,108 391.507  , 9/2 
Fe II ,213.25371,5000,6.00E+06,74 498.093  , 3/2 
 , , , , , 
Fe II ,213.25822,700,1.20E+07,108 463.918  , 13/2 
Fe II ,213.30295,1100, ,109 811.940  , 9/2 
Fe II ,213.31848,400,4.30E+06,108 929.031  , 9/2 
Fe I ,213.33134,5, ,54 237.415  ,4
Fe III ,213.3361,1900, ,135 554.39   ,4
 , , , , , 
Fe II ,213.39534,5000,2.00E+06,72 651.914  , 7/2 
Fe II ,213.40093,8000,3.40E+06,72 650.698  , 9/2 
Fe II ,213.4238, 600d? , ,69 650.481  , 5/2 
Fe II ,213.4478, 400d? , ,85 495.366  , 5/2 
Fe II ,213.4576,1700,9.00E+05,72 261.742  , 11/2 
 , , , , , 
Fe III ,213.4864,31000,5.70E+07,130 256.42   ,5
Fe I ,213.50994,13, ,54 807.250  ,1
Fe II ,213.5275,2400, ,62 662.252  , 11/2 
Fe III ,213.5525,4000,3.20E+06,135 735.43   ,5
Fe II ,213.56139,1300,1.50E+07,108 337.798  , 15/2 
 , , , , , 
Fe II ,213.58818,900,1.10E+07,108 391.507  , 9/2 
Fe I ,213.59605,74, ,54 530.653  ,2
Fe II ,213.60464,600,6.20E+06,108 387.934  , 11/2 
Fe II ,213.61786,250, ,112 876.116  , 7/2 
Fe III ,213.6362,5400, ,123 750.63   ,3
 , , , , , 
Fe II ,213.6509,11000,1.60E+07,73 143.346  , 7/2 
Fe I ,213.6941, 0d? , ,47 197.010  ,2
Fe III ,213.7011,4900,4.30E+06,116 475.56   ,3
Fe III ,213.7367,17000,2.30E+07,116 467.59   ,4
Fe II ,213.77454,1100, ,47 626.110  , 1/2 
 , , , , , 
Fe I ,213.80026,11, ,54 134.655  ,3
Fe II ,213.80482,5000,3.20E+06,67 273.833  , 3/2 
Fe II ,213.80704,400,3.20E+06,109 049.611  , 13/2 
Fe II ,213.84752,400, ,107 017.932  , 5/2 
Fe I ,213.85924,115,2.80E+06,46 744.993  ,3
 , , , , , 
Fe II ,213.8957, 600d? , ,72 524.561  , 3/2 
Fe II ,213.93859,260,3.20E+06,109 389.879  , 11/2 
Fe III ,213.9464,1600,2.20E+06,137 209.90   ,4
Fe II ,213.9478, 400d? , ,85 184.773  , 9/2 
Fe II ,213.96415,1700, ,47 389.809  , 3/2 
 , , , , , 
Fe I ,213.9698,468, ,46 720.842  ,4
Fe II ,213.97126,320, ,107 165.760  , 7/2 
Fe I , , m , ,47 136.084  ,2
Fe II ,213.9801,900, ,107 163.871  , 5/2 
Fe I ,213.99344,72, ,47 419.687  ,2
 , , , , , 
Fe II ,214.01706,2800, ,67 516.328  , 11/2 
Fe II ,214.02894,800,1.70E+07,108 859.487  , 3/2 
Fe III ,214.0429,3500, ,136 612.84   ,4
Fe II ,214.0582, 1800d? , ,72 130.375  , 9/2 
Fe II ,214.05994,210, ,112 397.186  , 9/2 
 , , , , , 
Fe II ,214.06522,900,6.00E+06,94 739.136  , 3/2 
Fe I ,214.10858,11, ,47 106.484  ,4
Fe II ,214.145,800,2.80E+07,108 927.126  , 1/2 
Fe I ,214.14717,9, ,53 610.412  ,4
Fe I ,214.17181,162, ,47 092.712  ,3
 , , , , , 
Fe II ,214.1785, 1700d? ,5.00E+06,78 487.144  , 3/2 
Fe II ,214.2016,4000,9.00E+05,72 651.914  , 7/2 
Fe II ,214.2073, 600bl(Fe II)* , ,72 650.698  , 9/2 
Fe II ,214.2073, 600bl(Fe II)* , ,108 181.564  , 11/2 
Fe I ,214.2146,4, ,47 555.610  ,1
 , , , , , 
Fe II ,214.23232,1000,3.80E+06,107 065.951  , 3/2 
Fe II ,214.24275,1300,1.50E+07,94 700.415  , 5/2 
Fe II ,214.2498, 240d? , ,107 044.220  , 3/2 
Fe III ,214.2535,2100, ,135 582.12   ,6
Fe I ,214.25662,14, ,53 586.510  ,5
 , , , , , 
Fe II ,214.27661,1100,1.20E+07,108 181.564  , 11/2 
Fe I ,214.28316,9, ,54 807.250  ,1
Fe VII ,214.299, 39bl(N II) ,6.90E+00,67 076.9    ,0
Fe II ,214.2991,2600, ,47 626.110  , 1/2 
Fe III ,214.3048,11000, ,123 750.63   ,3
 , , , , , 
Fe II ,214.31039,800,7.20E+06,108 804.711  , 7/2 
Fe II ,214.3313, 600d? , ,72 429.675  , 1/2 
Fe I ,214.33692,9, ,54 017.581  ,4
Fe III ,214.3473,15000,3.60E+07,116 475.56   ,3
Fe II ,214.35,900, ,72 619.499  , 5/2 
 , , , , , 
Fe I ,214.355, 0d? , ,54 013.752  ,5
Fe II ,214.35733,1800, ,85 495.366  , 5/2 
Fe III ,214.3761,1700,3.90E+06,116 380.24   ,1
Fe III ,214.383, 9600* , ,116 419.72   ,2
Fe III ,214.383, 9600* , ,116 467.59   ,4
 , , , , , 
Fe I ,214.38964,23, ,54 357.405  ,3
Fe II ,214.4168, 200d? , ,113 236.296  , 5/2 
Fe III ,214.4284, 14000* ,3.00E+06,135 316.64   ,5
Fe III ,214.4284, 14000* ,2.30E+06,123 697.15   ,2
Fe III ,214.4284, 14000* ,2.10E+07,116 316.85   ,5
 , , , , , 
Fe II ,214.4367,1000, ,69 650.481  , 5/2 
Fe I ,214.44485,40, ,54 603.140  ,1
Fe I ,214.45681,31, ,54 342.779  ,2
Fe III ,214.4745,11000, ,130 040.60   ,7
Fe II ,214.49441,700,6.10E+06,108 929.031  , 9/2 
 , , , , , 
Fe II ,214.4977,900,6.40E+06,108 133.473  , 13/2 
Fe VI , ,  ,2.20E-01,46 603.7    , 5/2 
Fe VI , ,  ,4.50E-03,46 603.7    , 5/2 
Fe I ,214.51895,275,5.70E+06,47 017.188  ,3
Fe II ,214.54, 600d? , ,72 651.914  , 7/2 
 , , , , , 
Fe II ,214.55571,1100, ,106 863.620  , 7/2 
Fe III ,214.5618,6000, ,116 380.24   ,1
Fe II ,214.6045, 2200bl(Fe III) , ,46 967.4751 , 5/2 
Fe III ,214.6064, 13000* ,1.40E+07,116 419.72   ,2
Fe III ,214.6064, 13000* ,2.90E+07,116 419.72   ,2
 , , , , , 
Fe I ,214.62821,14, ,47 555.610  ,1
Fe II ,214.63113, 900bl(Fe II)* ,6.10E+06,108 642.450  , 5/2 
Fe II ,214.63113, 900bl(Fe II)* , ,107 017.932  , 5/2 
Fe III ,214.6341, 5800* ,4.50E+07,116 365.03   ,0
Fe III ,214.6341, 5800* , ,135 239.84   ,4
 , , , , , 
Fe II ,214.63689,4000,7.10E+05,62 945.045  , 7/2 
Fe II ,214.65074,600, ,107 017.932  , 5/2 
Fe II ,214.6606,1200, ,68 000.785  , 9/2 
Fe I ,214.67205,28, ,47 272.027  ,1
Fe II ,214.6892, 600d? , ,72 619.499  , 5/2 
 , , , , , 
Fe I ,214.70454,48, ,54 289.034  ,3
Fe I ,214.7479, 0d? , ,54 706.387  ,2
Fe II ,214.76231,600,1.00E+07,108 613.977  , 5/2 
Fe II ,214.77032,20000,2.20E+07,72 352.046  , 7/2 
Fe I ,214.77883,10, ,54 530.653  ,2
 , , , , , 
Fe III ,214.7906,8600, ,116 380.24   ,1
Fe II ,214.7927," 220d,bl(Si)? ", ,108 667.282  , 1/2 
Fe III ,214.8257,4100,1.30E+07,128 917.66   ,2
Fe I ,214.84031,40, ,47 419.687  ,2
Fe I ,214.84928,6, ,54 257.679  ,2
 , , , , , 
Fe II ,214.8603, 2200d? , ,47 389.809  , 3/2 
Fe II ,214.88375,600, ,110 609.548  , 3/2 
Fe I ,214.91786,7, ,53 891.526  ,3
Fe II ,214.93639,800,1.40E+07,108 662.300  , 3/2 
Fe III ,214.9561,1100, ,128 917.66   ,2
 , , , , , 
Fe I ,214.96294,6, ,53 881.806  ,4
Fe I ,215.01847,91, ,47 197.010  ,2
Fe II ,215.0284,350,7.20E+06,108 642.450  , 5/2 
