Ion, Observed , Rel. , Aki, Ek ,J
Fe III ,203.8915,30000,6.00E+07,118 868.04   ,1
 , , , , , 
Fe III , ,  ,1.20E+01,70 729.12   ,4
Fe III , ,  ,8.10E+00,70 725.46   ,3
Fe II ,203.9106,700, ,71 964.750  , 5/2 
Fe II ,203.94162,800, ,115 030.664  , 9/2 
Fe III ,203.952,180000,4.44E+08,141 539.28   ,6
 , , , , , 
Fe II ,203.95223,300,4.40E+06,109 456.381  , 3/2 
Fe II ,203.9672,1300,3.10E+06,72 043.060  , 3/2 
Fe II ,203.96989,600,7.00E+06,109 456.381  , 3/2 
Fe I ,203.9984,0, ,56 732.335  ,4
Fe II ,204.03631,1200, ,118 097.578  , 5/2 
 , , , , , 
Fe III ,204.0406,40000,1.20E+08,122 843.34   ,1
Fe III ,204.055,54000,1.70E+08,139 463.33   ,5
Fe II ,204.069022, 70000bl(Fe II)* , ,106 398.405  , 3/2 
Fe II ,204.069022, 70000bl(Fe II)* ,4.60E+07,64 831.951  , 9/2 
Fe III ,204.0785,40000,1.10E+08,122 921.66   ,1
 , , , , , 
Fe II ,204.11922,190, ,118 277.347  , 3/2 
Fe III ,204.132,1500, ,119 697.69   ,2
Fe II ,204.1537, 320bl , ,103 869.046  , 3/2 
Fe II ,204.1767, 130d? , ,122 355.101  , 9/2 
Fe III ,204.2241,30000, ,131 445.12   ,2
 , , , , , 
Fe II ,204.2254," 190d,bl(Fe III)?* ", ,114 646.097  , 7/2 
Fe II ,204.2254," 190d,bl(Fe III)?* ", ,113 236.296  , 5/2 
Fe IX ,204.235,  , ,462 616.6    ,2
Fe III ,204.2936,2700,3.00E+06,118 721.77   ,2
Fe II ,204.3246," 190d,bl(Fe II)?* ", ,114 482.464  , 9/2 
 , , , , , 
Fe II ,204.3246," 190d,bl(Fe II)?* ", ,112 966.779  , 7/2 
Fe II ,204.33233,3000, ,62 829.071  , 1/2 
Fe III ,204.3326, 16000p , ,142 312.79   ,3
Fe III ,204.3484,40000,9.00E+07,142 312.79   ,3
Fe I ,204.3491, (0)bl? , ,57 074.915  ,2
 , , , , , 
Fe II ,204.37825,9000,1.50E+07,67 273.833  , 3/2 
Fe II ,204.4008,330, ,103 183.69   , 7/2 
Fe III ,204.4041,40000,6.00E+07,122 843.34   ,1
Fe II ,204.41226,500,4.30E+06,106 398.405  , 3/2 
Fe III ,204.4313,40000,1.30E+08,122 628.53   ,2
 , , , , , 
Fe II ,204.4322,400, ,103 183.69   , 7/2 
Fe III ,204.455,22000,2.70E+07,136 796.90   ,3
Fe III ,204.4671,16000, ,136 793.80   ,2
Fe I ,204.4936, 0d? , ,56 871.345  ,3
Fe III ,204.4984,54000,1.10E+08,118 721.77   ,2
 , , , , , 
Fe II ,204.4985, 1100bl(Fe III) , ,70 314.624  , 9/2 
Fe III , ,  ,1.60E+01,70 725.46   ,3
Fe II ,204.56621,900,4.00E+06,106 279.329  , 5/2 
Fe III ,204.5838,97000,2.50E+08,137 528.06   ,4
Fe II ,204.5848, 400bl(Fe III) , ,107 529.849  , 7/2 
 , , , , , 
Fe III ,204.5953,2700, ,118 557.32   ,5
Fe II ,204.5973,310, ,109 486.551  , 11/2 
Fe III ,204.607,16000, ,135 705.61   ,3
Fe II ,204.64122,500, ,118 277.347  , 3/2 
Fe III ,204.6456,1100, ,118 686.41   ,4
 , , , , , 
Fe III ,204.6761,22000, ,132 080.04   ,3
Fe III ,204.6834,16000, ,137 763.58   ,5
Fe III , ,  ,3.90E-01,49 577.27   ,1
Fe III ,204.7131, 29000* ,1.70E+07,137 528.06   ,4
Fe III ,204.7131, 29000* ,6.00E+06,132 262.65   ,6
 , , , , , 
Fe II ,204.72035,1100,2.40E+07,98 338.357  , 3/2 
Fe I ,204.7248,1, ,60 806.670  ,3
Fe I ,204.7402, 0d? , ,49 242.621  ,2
Fe II ,204.77152,3100,5.60E+06,74 606.864  , 5/2 
Fe II ,204.84901,5000,4.80E+06,69 606.567  , 7/2 
 , , , , , 
Fe II ,204.87132,500, ,118 097.578  , 5/2 
Fe II ,204.90508,900,2.70E+06,103 019.688  , 13/2 
Fe III ,204.9395,71000,1.20E+08,122 628.53   ,2
Fe II ,204.9532,1300, ,69 606.567  , 7/2 
Fe II ,204.9774, 800d? , ,62 244.515  , 3/2 
 , , , , , 
Fe III ,205.0744,71000, ,118 443.27   ,3
Fe II ,205.10336,60000,3.70E+07,65 109.691  , 7/2 
Fe III ,205.1846,16000, ,132 080.04   ,3
Fe III ,205.2057,2600,3.50E+06,125 673.05   ,2
Fe III ,205.2277,38000, ,136 612.84   ,4
 , , , , , 
Fe II ,205.2287,1500,3.00E+06,74 498.093  , 3/2 
Fe II ,205.2853,800, ,62 171.624  , 7/2 
Fe III ,205.3301,1000,4.30E+06,158 257.45   ,1
Fe III ,205.3524,28000, ,125 638.11   ,3
Fe II ,205.36945,1600, ,62 151.554  , 5/2 
 , , , , , 
Fe III ,205.4482, 28000* , ,191 118.96   ,3
Fe III ,205.4482, 28000* ,6.60E+07,142 046.98   ,4
Fe III ,205.4647, 4700* , ,142 046.98   ,4
Fe III ,205.4647, 4700* , ,118 350.42   ,4
Fe II ,205.4793,800, ,62 125.604  , 3/2 
 , , , , , 
Fe II ,205.52677,28000,3.10E+07,67 000.530  , 5/2 
Fe II ,205.55984, 700bl(Cr) , ,107 298.265  , 5/2 
Fe III ,205.5862,51000,1.80E+08,132 785.41   ,4
Fe III ,205.616,69000,2.50E+08,122 346.75   ,3
Fe III ,205.67,4600, ,118 443.27   ,3
 , , , , , 
Fe II ,205.6757, 500? ,3.60E+06,96 279.234  , 5/2 
Fe II ,205.6952, 600? , ,75 915.080  , 5/2 
Fe III ,205.7063,51000,3.50E+08,125 673.05   ,2
Fe II ,205.73325,10000,2.80E+06,62 065.528  , 7/2 
Fe III ,205.7928,51000,4.40E+08,145 618.22   ,2
 , , , , , 
Fe I ,205.8105,1, ,60 549.116  ,5
Fe II ,205.8126, 700d? , ,93 487.653  , 7/2 
Fe II ,205.8172,1500, ,62 244.515  , 3/2 
Fe III ,205.8204,28000, ,125 673.05   ,2
Fe II ,205.8345, 180d? , ,115 030.664  , 9/2 
 , , , , , 
Fe III ,205.8567,300000,5.00E+08,131 991.74   ,7
Fe II ,205.8577, 400bl(Fe III) , ,112 987.144  , 5/2 
Fe III ,205.904,20000, ,118 246.74   ,3
Fe II ,205.9457,800, ,73 969.761  , 11/2 
Fe II ,205.9582,600, ,73 966.843  , 13/2 
 , , , , , 
Fe II ,205.961784,3400,1.60E+07,108 807.527  , 5/2 
Fe III ,205.9686,170000,4.10E+08,125 638.11   ,3
Fe III ,206.0557,1000, ,137 209.90   ,4
Fe III ,206.1214,1400, ,132 659.48   ,4
Fe III ,206.1557,300000,5.10E+08,89 491.77   ,1
 , , , , , 
Fe II ,206.15782,220, ,118 097.578  , 5/2 
Fe III ,206.176,160000,4.63E+08,125 443.72   ,4
Fe III ,206.2089,27000,6.80E+07,141 002.97   ,4
Fe II ,206.21173,1600, ,62 151.554  , 5/2 
Fe II ,206.27445,500,1.00E+07,103 334.14   , 5/2 
 , , , , , 
Fe II ,206.279, 2100d? , ,64 831.951  , 9/2 
Fe III ,206.2981,27000, ,132 105.12   ,2
Fe II ,206.3215, 800d? , ,62 125.604  , 3/2 
Fe II ,206.367747,40000,1.90E+07,64 286.354  , 7/2 
Fe II ,206.4223, 500bl(Ar I) , ,98 505.022  , 5/2 
 , , , , , 
Fe III ,206.4985,11000,2.60E+07,157 981.97   ,3
Fe III ,206.5269, 27000* ,3.00E+08,179 261.36   ,2
Fe III ,206.5269, 27000* ,2.90E+07,138 187.96   ,3
Fe III ,206.5489,4400,8.00E+07,179 261.36   ,2
Fe II ,206.56889,310, ,108 778.889  , 3/2 
 , , , , , 
Fe II ,206.5757,500,1.10E+06,98 536.011  , 7/2 
Fe II ,206.60082,15000,2.30E+07,67 273.833  , 3/2 
Fe II ,206.6171, 500d? , ,86 547.427  , 5/2 
Fe II ,206.6352, 220d? , ,110 428.305  , 5/2 
Fe II ,206.70691, 600bl(Fe II)* ,2.10E+06,108 807.527  , 5/2 
 , , , , , 
Fe II ,206.70691, 600bl(Fe II)* , ,98 505.022  , 5/2 
Fe III ,206.7316,65000,1.60E+08,138 264.58   ,6
Fe II ,206.7317, 260bl(Fe III) , ,112 397.186  , 9/2 
Fe II ,206.7669, 400bl(Fe II)* , ,122 315.037  , 11/2 
Fe II ,206.7669, 400bl(Fe II)* ,5.30E+06,98 536.011  , 7/2 
 , , , , , 
Fe II ,206.791366,33000,4.10E+07,69 650.481  , 5/2 
Fe II ,206.79995,1500,1.70E+07,107 006.684  , 9/2 
Fe II ,206.8035, 1500bl(Fe II)* , ,110 065.766  , 5/2 
Fe II ,206.8035, 1500bl(Fe II)* , ,62 244.515  , 3/2 
Fe III ,206.8254,290000,4.80E+08,89 334.88   ,2
 , , , , , 
Fe II ,206.8319,900,3.70E+06,86 547.427  , 5/2 
Fe III ,206.8592,960, ,118 163.70   ,2
Fe III ,206.864,960, ,118 163.70   ,2
Fe II ,206.8766,600, ,73 751.276  , 9/2 
Fe III ,206.89,3200, ,138 103.16   ,4
 , , , , , 
Fe II ,206.8943,800,3.50E+06,86 482.560  , 7/2 
Fe II ,206.9655,1000, ,61 974.931  , 3/2 
Fe II ,206.9702,240, ,108 571.060  , 9/2 
Fe III ,206.9812,14000,1.60E+07,136 200.07   ,3
Fe II ,206.99613,6000,1.30E+07,75 915.080  , 5/2 
 , , , , , 
