Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,
Mg III ,239.5149,20,1.67E+08,467 378.5   ,1,,,,,,,,,,,,,
Mg III , ,  ,2.22E-03,467 378.5   ,1,,,,,,,,,,,,,
Mg IV , ,  ,9.90E+02,597 065.7   , 3/2 ,,,,,,,,,,,,,
Mg IV , ,  ,8.04E-04,597 065.7   , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IX , ,  ,2.31E+06,1 755 470?    ,1,,,,,,,,,,,,,
Mg II , ,  ,5.26E+05,113 033.09  , 3/2 ,,,,,,,,,,,,,
Mg II , ,  ,5.87E+04,113 033.09  , 3/2 ,,,,,,,,,,,,,
Mg II , ,  ,5.79E+05,113 030.25  , 1/2 ,,,,,,,,,,,,,
Mg IX , ,  ,5.17E+07,1 789 640     ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg V , ,  ,2.74E+05,940 449     ,2,,,,,,,,,,,,,
Mg V , ,  ,4.09E+00,77 279     ,0,,,,,,,,,,,,,
Mg VIII , ,  ,8.29E+05,1 638 790     , 5/2 ,,,,,,,,,,,,,
Mg VIII , ,  ,8.71E+05,1 638 790     , 3/2 ,,,,,,,,,,,,,
Mg VIII , ,  ,4.14E+04,1 638 790     , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IV , ,  ,2.21E-04,596 521.8   , 5/2 ,,,,,,,,,,,,,
Mg V , ,  ,7.99E+05,940 449     ,2,,,,,,,,,,,,,
Mg VII , ,  ,1.25E-04,40 948     ,2,,,,,,,,,,,,,
Mg II , ,  ,1.44E+06,112 301.47  , 5/2 ,,,,,,,,,,,,,
Mg II ,244.959, 6* ,2.16E+07,112 301.47  , 7/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg II ,244.959, 6* ,2.02E+07,112 301.47  , 5/2 ,,,,,,,,,,,,,
Mg III ,246.7751,15,6.91E+07,467 378.5   ,1,,,,,,,,,,,,,
Mg III , ,  ,1.59E-04,467 378.5   ,1,,,,,,,,,,,,,
Mg IV ,247.0243, 2* , ,846 780.7   , 3/2 ,,,,,,,,,,,,,
Mg IV ,247.0243, 2* , ,846 780.7   , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IV ,247.0243, 2* , ,846 780.7   , 5/2 ,,,,,,,,,,,,,
Mg IV , ,  ,1.08E+06,723 267.3   , 3/2 ,,,,,,,,,,,,,
Mg II , ,  ,9.15E+04,110 207.99  , 3/2 ,,,,,,,,,,,,,
Mg II , ,  ,1.02E+05,110 203.58  , 1/2 ,,,,,,,,,,,,,
Mg IV , ,  ,4.21E+06,723 267.3   , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg III ,249.0534,10,1.61E+08,536 152.0   ,1,,,,,,,,,,,,,
Mg IV ,249.1569,9, ,810 957.2   , 11/2 ,,,,,,,,,,,,,
Mg IV ,249.3108, 8bl , ,810 958.8   , 9/2 ,,,,,,,,,,,,,
Mg IV ,249.5794, 6* , ,846 858.7   , 13/2 ,,,,,,,,,,,,,
