Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,,
Ti I ,214.7304,0, ,46 725.398  ,3,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,214.90159,9, ,78 543.8893 , 5/2 ,,,,,,,,,,,,,,
Ti II ,214.983319,40, ,71 461.7932 , 5/2 ,,,,,,,,,,,,,,
Ti I ,215.21236,0, ,46 837.984  ,4,,,,,,,,,,,,,,
Ti II ,215.458, 2: , ,56 249.2448 , 3/2 ,,,,,,,,,,,,,,
Ti II ,215.471045,131, ,56 326.1371 , 5/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,215.480679,27, ,71 586.2514 , 7/2 ,,,,,,,,,,,,,,
Ti II ,215.559406,134, ,56 249.2448 , 3/2 ,,,,,,,,,,,,,,
Ti II ,215.58, 0: , ,56 223.205  , 1/2 ,,,,,,,,,,,,,,
Ti II ,215.680536,26, ,56 223.205  , 1/2 ,,,,,,,,,,,,,,
Ti II ,215.828768,44, ,56 249.2448 , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,215.908645,324, ,56 326.1371 , 5/2 ,,,,,,,,,,,,,,
Ti II ,215.950192,133, ,56 223.205  , 1/2 ,,,,,,,,,,,,,,
Ti II ,216.04, 0: , ,56 249.2448 , 3/2 ,,,,,,,,,,,,,,
Ti II ,216.06043,4, ,71 461.7932 , 5/2 ,,,,,,,,,,,,,,
Ti II ,216.12369,7, ,76 496.2220 , 9/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,216.163, 1: , ,56 223.205  , 1/2 ,,,,,,,,,,,,,,
Ti II ,216.17282,7, ,80 788.150  , 9/2 ,,,,,,,,,,,,,,
Ti II ,216.267842,146, ,56 249.2448 , 3/2 ,,,,,,,,,,,,,,
Ti II ,216.47229,5, ,77 937.4445 , 1/2 ,,,,,,,,,,,,,,
Ti II ,216.94034,8, ,80 829.6682 , 11/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,217.16966,14, ,78 058.1017 , 3/2 ,,,,,,,,,,,,,,
Ti II ,217.34035,5, ,77 753.0000 , 1/2 ,,,,,,,,,,,,,,
Ti II ,218.67536,8, ,77 741.1809 , 3/2 ,,,,,,,,,,,,,,
Ti II ,218.751622,1270, ,70 892.6160 , 7/2 ,,,,,,,,,,,,,,
Ti II ,219.014713,790, ,70 605.9514 , 5/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti III ,219.239,3, ,83 796.86   ,1,,,,,,,,,,,,,,
Ti II ,219.33257,10, ,77 335.2729 , 5/2 ,,,,,,,,,,,,,,
Ti III ,219.36,2, ,128 689.67   ,3,,,,,,,,,,,,,,
Ti II ,219.55225,17, ,80 076.398  , 7/2 ,,,,,,,,,,,,,,
Ti III ,219.9223,10,5.70E+08,129 253.41   ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,220.132613,60, ,70 605.9514 , 5/2 ,,,,,,,,,,,,,,
Ti II ,220.36734,21, ,80 113.1209 , 9/2 ,,,,,,,,,,,,,,
Ti II ,220.38978,4, ,78 058.1017 , 3/2 ,,,,,,,,,,,,,,
Ti II ,220.42547,4, ,76 311.242  , 5/2 ,,,,,,,,,,,,,,
Ti II ,220.51894,18, ,77 359.019  , 7/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,220.5471,10, ,76 441.3150 , 7/2 ,,,,,,,,,,,,,,
Ti II ,221.01578,5, ,76 345.1973 , 7/2 ,,,,,,,,,,,,,,
Ti I ,221.1381,0, ,45 206.499  ,3,,,,,,,,,,,,,,
