Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,
Al I , ,  ,8.67E+06,45 344.165 , 3/2 ,,,,,,,,,,,,,
Al IV ,221.121,3, ,897 217.6   ,2,,,,,,,,,,,,,
Al X , ,  ,2.43E+06,2 102 330     ,1,,,,,,,,,,,,,
Al IV ,221.221,2, ,897 197.1   ,1,,,,,,,,,,,,,
Al III ,221.356, 2d* ,2.82E+06,188 878.22  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III ,221.356, 2d* ,1.69E+07,188 877.57  , 5/2 ,,,,,,,,,,,,,
Al VIII , ,  ,3.14E+00,46 720+x   ,2,,,,,,,,,,,,,
Al V , ,  ,1.72E+06,928 408     , 3/2 ,,,,,,,,,,,,,
Al IV ,222.913,30, ,897 416.8   ,3,,,,,,,,,,,,,
Al IV ,224.047, 50bl* , ,897 328.4   ,4,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al IV ,224.0563,300, ,897 324.7   ,5,,,,,,,,,,,,,
Al II ,224.3045,300,3.03E+07,139 918.98  ,1,,,,,,,,,,,,,
Al X , ,  ,7.94E+07,2 192 860     ,3,,,,,,,,,,,,,
Al IV ,225.7187,100, ,897 328.4   ,4,,,,,,,,,,,,,
Al I ,225.7999, 2g ,3.77E+06,44 273.133 , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al IV ,226.0838,60, ,900 843.6   ,3,,,,,,,,,,,,,
Al I ,226.3462, 4g ,6.83E+07,44 166.398 , 3/2 ,,,,,,,,,,,,,
Al I ,226.3731, 2g ,7.50E+06,44 273.133 , 1/2 ,,,,,,,,,,,,,
Al I ,226.6014,3, ,76 553.47  , 5/2 ,,,,,,,,,,,,,
Al I ,226.753,4, ,76 521.7   , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al I ,226.9096, 4g ,7.58E+07,44 168.847 , 5/2 ,,,,,,,,,,,,,
Al I ,226.922, 2g ,1.26E+07,44 166.398 , 3/2 ,,,,,,,,,,,,,
Al IV ,227.2348,20, ,900 836.9   ,3,,,,,,,,,,,,,
Al IV ,227.266,50, ,900 847.7   ,4,,,,,,,,,,,,,
Al IV ,228.3027,40, ,897 537.5   ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,228.5126,50, ,135 022.127 ,2,,,,,,,,,,,,,
Al II ,228.547,10, ,135 015.701 ,1,,,,,,,,,,,,,
Al II ,228.569,5, ,135 012.285 ,0,,,,,,,,,,,,,
Al IV ,228.701,2, ,871 512.2   ,1,,,,,,,,,,,,,
Al IV ,228.829,2, ,897 435.7   ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al IV ,229.4524,50, ,897 540.1   ,4,,,,,,,,,,,,,
Al III ,229.947, 3d* ,4.44E+06,209 263.25  , 5/2 ,,,,,,,,,,,,,
Al III ,229.947, 3d* ,6.66E+07,209 263.25  , 7/2 ,,,,,,,,,,,,,
Al III ,229.947, 3d* ,6.22E+07,209 263.25  , 5/2 ,,,,,,,,,,,,,
Al IV ,230.104,3, ,897 416.8   ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al IX , ,  ,9.72E+05,1 800 910     , 5/2 ,,,,,,,,,,,,,
Al VI , ,  ,7.57E+03,1 079 610     ,3,,,,,,,,,,,,,
Al I ,231.1035,4, ,72 277.75  , 1/2 ,,,,,,,,,,,,,
Al II ,231.2225,1, ,148 677.2   ,1,,,,,,,,,,,,,
Al I ,231.2491,5, ,72 250.53  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al V , ,  ,1.05E+07,928 408     , 3/2 ,,,,,,,,,,,,,
Al I ,231.3526,6, ,72 277.75  , 1/2 ,,,,,,,,,,,,,
Al II ,231.3768,100, ,148 677.2   ,1,,,,,,,,,,,,,
Al I ,231.4983,4, ,72 250.53  , 3/2 ,,,,,,,,,,,,,
Al I ,231.7482,7, ,72 204.00  , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al VI , ,  ,1.34E+05,1 079 456     ,2,,,,,,,,,,,,,
Al I ,231.9057,5, ,72 250.53  , 3/2 ,,,,,,,,,,,,,
Al VI , ,  ,2.05E+05,1 079 437     ,1,,,,,,,,,,,,,
Al I ,232.1562,9, ,72 204.00  , 5/2 ,,,,,,,,,,,,,
Al VI , ,  ,1.48E+05,1 079 610     ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al IX , ,  ,1.27E+07,1 800 510     , 3/2 ,,,,,,,,,,,,,
Al IV ,232.413,20, ,871 512.2   ,1,,,,,,,,,,,,,
Al II ,232.4199,350,3.46E+07,138 561.8   ,4,,,,,,,,,,,,,
Al X , ,  ,4.93E+06,2 171 680     ,1,,,,,,,,,,,,,
Al II ,232.5436,10,3.85E+06,138 538.9   ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,232.5494,300,3.07E+07,138 538.9   ,3,,,,,,,,,,,,,
Al II , ,  ,1.52E+05,138 521.4   ,2,,,,,,,,,,,,,
Al II ,232.6445,10,5.38E+06,138 521.4   ,2,,,,,,,,,,,,,
Al II ,232.6496,300,2.90E+07,138 521.4   ,2,,,,,,,,,,,,,
Al II ,232.82,3, ,149 859.0   ,0,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al VI , ,  ,1.80E+05,1 079 456     ,2,,,,,,,,,,,,,
Al V , ,  ,3.24E+07,926 388     , 5/2 ,,,,,,,,,,,,,
Al VI , ,  ,2.90E+05,1 079 610     ,3,,,,,,,,,,,,,
Al II ,234.469,7, ,149 557.1   ,0,,,,,,,,,,,,,
Al II ,234.547,3, ,148 093.2   ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,234.592,3, ,148 056.1   ,1,,,,,,,,,,,,,
Al II ,234.7516,30, ,148 056.1   ,1,,,,,,,,,,,,,
Al V , ,  ,1.97E+06,925 894     , 1/2 ,,,,,,,,,,,,,
Al VIII , ,  ,7.59E+00,46 720+x   ,2,,,,,,,,,,,,,
Al II ,236.546,10, ,149 182.2   ,0,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al X , ,  ,1.76E+06,1 966 080     ,2,,,,,,,,,,,,,
Al I ,236.7052, 8g ,7.61E+07,42 233.742 , 3/2 ,,,,,,,,,,,,,
Al I ,236.7611,8, ,71 244.17  , 3/2 ,,,,,,,,,,,,,
Al I ,236.8112,8, ,71 235.25  , 1/2 ,,,,,,,,,,,,,
Al IV ,236.8272,40, ,900 854.1   ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al I ,236.9304,10, ,71 260.55  , 5/2 ,,,,,,,,,,,,,
Al I ,237.0225,9, ,71 244.17  , 3/2 ,,,,,,,,,,,,,
Al I ,237.0726,6, ,71 235.25  , 1/2 ,,,,,,,,,,,,,
Al IV ,237.1027,50, ,897 435.7   ,2,,,,,,,,,,,,,
Al I ,237.207, 3g ,5.76E+06,42 144.411 , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al I ,237.3124, 8g ,9.07E+07,42 237.783 , 5/2 ,,,,,,,,,,,,,
Al I ,237.3349, 2g ,1.51E+07,42 233.742 , 3/2 ,,,,,,,,,,,,,
Al I ,237.3571,8, ,71 260.55  , 5/2 ,,,,,,,,,,,,,
Al I ,237.4496,4, ,71 244.17  , 3/2 ,,,,,,,,,,,,,
Al I ,237.8368, 3g ,1.14E+07,42 144.411 , 1/2 ,,,,,,,,,,,,,
