Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na IV , ,  ,4.90E+05,600 534.1     ,2,,,,,,,,,,,,,,
Na III ,228.566,13,7.73E+07,418 417.50    , 3/2 ,,,,,,,,,,,,,,
Na II ,228.6264,15, ,374 514.9     ," 1,2 ",,,,,,,,,,,,,,
Na II ,228.7822,7, , ,  ,,,,,,,,,,,,,,
Na III , ,  ,3.11E+05,460 593.62    , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na II ,229.1198,2, , ,  ,,,,,,,,,,,,,,
Na V , ,  ,3.42E+07,938 440?      , 3/2 ,,,,,,,,,,,,,,
Na V , ,  ,3.80E+06,938 440?      , 3/2 ,,,,,,,,,,,,,,
Na VII , ,  ,9.52E+05,1 198 290       , 1/2 ,,,,,,,,,,,,,,
Na VII , ,  ,9.52E+04,1 198 290       , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na VII , ,  ,2.26E+07,1 335 830       , 5/2 ,,,,,,,,,,,,,,
Na VII , ,  ,1.13E+06,1 335 830       , 5/2 ,,,,,,,,,,,,,,
Na VII , ,  ,2.36E+07,1 335 810       , 3/2 ,,,,,,,,,,,,,,
Na VIII , ,  ,3.32E+06,1 485 340       ,2,,,,,,,,,,,,,,
Na II ,230.2923,20, ,374 532.1     ," 3,4 ",,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na II ,230.3263,20, , ,  ,,,,,,,,,,,,,,
Na II ,230.3582,80, ,374 520.3     ," 4,5 ",,,,,,,,,,,,,,
Na II ,230.6968,60, ,374 520.3     ," 4,5 ",,,,,,,,,,,,,,
Na VI , ,  ,1.41E+06,1 134 090       ,1,,,,,,,,,,,,,,
Na VI , ,  ,1.26E+07,1 134 090       ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na VI , ,  ,5.08E+07,1 134 090       ,3,,,,,,,,,,,,,,
Na III ,230.9988,15,3.08E+08,416 909.31    , 1/2 ,,,,,,,,,,,,,,
Na III ,231.465,0, ,460 593.62    , 3/2 ,,,,,,,,,,,,,,
Na II ,231.5647,300,1.05E+07,308 860.80    ,0,,,,,,,,,,,,,,
Na IV , ,  ,1.35E+04,643 625.6     ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na II ,231.8687,7, , ,  ,,,,,,,,,,,,,,
Na IV , ,  ,1.91E+06,643 625.6     ,2,,,,,,,,,,,,,,
Na II ,232.013, 30bl* , ,375 890.0     ," 2,3 ",,,,,,,,,,,,,,
Na II ,232.013, 30bl* , ,375 890.0     ," 3,4 ",,,,,,,,,,,,,,
Na IV , ,  ,5.62E+02,643 625.6     ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na II ,232.2264, 40bl* , ,375 890.0     ," 2,3 ",,,,,,,,,,,,,,
Na II ,232.2264, 40bl* , ,375 890.0     ," 3,4 ",,,,,,,,,,,,,,
Na VI , ,  ,1.91E+07,1 048 100       ,1,,,,,,,,,,,,,,
Na III ,232.456,0, ,460 409.70    , 5/2 ,,,,,,,,,,,,,,
Na II ,232.4927,15, ,373 788.1     ," 2,3 ",,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na II ,232.8805,30, ,375 890.0     ," 2,3 ",,,,,,,,,,,,,,
Na II ,233.1444,15, , ,  ,,,,,,,,,,,,,,
Na II ,233.2109,30, ,374 532.1     ," 3,4 ",,,,,,,,,,,,,,
Na IV , ,  ,1.25E+07,643 420.?     ,0,,,,,,,,,,,,,,
Na VII , ,  ,1.38E+06,1 471 560       , 5/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na II ,233.4403,40, ,374 532.1     ," 3,4 ",,,,,,,,,,,,,,
Na IV , ,  ,9.85E+06,643 311.      ,1,,,,,,,,,,,,,,
Na II ,233.7377,15, ,374 514.9     ," 1,2 ",,,,,,,,,,,,,,
Na VII , ,  ,5.61E+04,1 471 560       , 5/2 ,,,,,,,,,,,,,,
Na IV , ,  ,3.00E+06,643 311.      ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na II ,233.9724,20, ,375 890.0     ," 2,3 ",,,,,,,,,,,,,,
