Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,,
Ca III ,279.6346, 450h ,1.28E+08,383 094.79  ,6,,,,,,,,,,,,,,
Ca III ,279.7203, 280h ,1.04E+08,383 156.51  ,4,,,,,,,,,,,,,,
Ca III ,279.9386, 350h ,1.25E+08,383 095.10  ,5,,,,,,,,,,,,,,
Ca III ,281.3877,3300,9.50E+07,281 139.55  ,1,,,,,,,,,,,,,,
Ca III ,281.5391, 290h ,1.14E+08,386 249.78  ,4,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca III ,281.854, 290h ,1.19E+08,386 248.39  ,4,,,,,,,,,,,,,,
Ca III ,282.0573, 360h ,1.23E+08,386 248.68  ,5,,,,,,,,,,,,,,
Ca III ,282.4116, 240h ,9.10E+07,383 157.11  ,3,,,,,,,,,,,,,,
Ca III ,282.8001, 240h ,1.10E+08,386 250.31  ,3,,,,,,,,,,,,,,
Ca III ,284.3169, 300h ,1.07E+08,383 189.82  ,4,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca III ,284.5058, 370h ,1.10E+08,383 190.20  ,5,,,,,,,,,,,,,,
Ca III ,286.6538,3500,1.02E+08,282 571.43  ,1,,,,,,,,,,,,,,
Ca III ,286.9945,5000,8.50E+07,277 380.86  ,2,,,,,,,,,,,,,,
Ca III ,288.1782,6000,1.67E+08,278 621.01  ,1,,,,,,,,,,,,,,
Ca III ,289.9785,14000,2.50E+08,277 022.40  ,3,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca III ,290.7918,1200,1.70E+07,282 075.15  ,0,,,,,,,,,,,,,,
Ca III ,292.4326,7000,1.39E+08,281 882.24  ,2,,,,,,,,,,,,,,
Ca III ,298.863,6000,1.50E+08,277 380.86  ,2,,,,,,,,,,,,,,
Ca III ,298.9274,4200,1.24E+08,281 139.55  ,1,,,,,,,,,,,,,,
Ca I ,299.496,9,3.67E+07,48 537.623 ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca I ,299.731,8,2.41E+07,48 563.522 ,2,,,,,,,,,,,,,,
Ca I ,299.964,8,2.79E+07,48 537.623 ,1,,,,,,,,,,,,,,
Ca I ,300.086,9,1.58E+08,48 524.093 ,0,,,,,,,,,,,,,,
Ca I ,300.686,10,7.50E+07,48 563.522 ,2,,,,,,,,,,,,,,
Ca I ,300.921,9,4.30E+07,48 537.623 ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca I ,302.494,2, , ,  ,,,,,,,,,,,,,,
Ca III ,302.8586,3000,5.20E+07,278 621.01  ,1,,,,,,,,,,,,,,
Ca I ,303.454,2, , ,  ,,,,,,,,,,,,,,
Ca I ,304.574,2, , ,  ,,,,,,,,,,,,,,
Ca I ,305.532,3, , ,  ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca I ,307.157,2, , ,  ,,,,,,,,,,,,,,
Ca I ,307.695,2, , ,  ,,,,,,,,,,,,,,
Ca I ,308.079,2, , ,  ,,,,,,,,,,,,,,
Ca I ,309.93,2, , ,  ,,,,,,,,,,,,,,
Ca I , ,  ,6.20E+05,47 382.048 ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca I , ,  ,1.00E+06,47 382.048 ,1,,,,,,,,,,,,,,
Ca I , ,  ,1.70E+06,47 382.048 ,1,,,,,,,,,,,,,,
Ca III ,311.9665,7000,8.60E+07,279 741.80  ,2,,,,,,,,,,,,,,
Ca II ,312.518,10, , ,  ,,,,,,,,,,,,,,
Ca I ,313.602,5,4.10E+06,47 036.225 ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca I ,314.079,6,4.90E+06,47 040.007 ,2,,,,,,,,,,,,,,
Ca I , ,  ,3.00E+06,47 036.225 ,1,,,,,,,,,,,,,,
Ca I ,315.075,7,8.60E+06,47 045.241 ,3,,,,,,,,,,,,,,
Ca I , ,  ,1.80E+06,47 040.007 ,2,,,,,,,,,,,,,,
Ca I , ,  ,2.20E+05,47 036.225 ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca II ,315.887,170,3.10E+08,56 839.25  , 3/2 ,,,,,,,,,,,,,,
Ca I , ,  ,5.30E+05,46 748.283 ,1,,,,,,,,,,,,,,
Ca I , ,  ,2.00E+06,46 748.283 ,1,,,,,,,,,,,,,,
Ca II ,317.933,180,3.60E+08,56 858.46  , 5/2 ,,,,,,,,,,,,,,
Ca I ,318.052,5,2.90E+06,46 748.283 ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca II ,318.128,150,5.80E+07,56 839.25  , 3/2 ,,,,,,,,,,,,,,
Ca I ,320.996,7,7.30E+06,46 301.973 ,1,,,,,,,,,,,,,,
Ca I ,321.517,8,1.10E+07,46 303.649 ,2,,,,,,,,,,,,,,
Ca I ,321.534,6,5.10E+06,46 301.973 ,1,,,,,,,,,,,,,,
Ca I ,322.59,9,1.60E+07,46 306.059 ,3,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca I ,322.615,6,4.00E+06,46 303.649 ,2,,,,,,,,,,,,,,
Ca I , ,  ,4.20E+05,46 301.973 ,1,,,,,,,,,,,,,,
Ca III ,323.2734,340, ,278 621.01  ,1,,,,,,,,,,,,,,
Ca I , ,  ,9.40E+05,45 738.684 ,1,,,,,,,,,,,,,,
Ca I ,327.467,5,3.00E+06,45 738.684 ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca I ,328.607,6,5.30E+06,45 738.684 ,1,,,,,,,,,,,,,,
Ca II ,330.802,10, , ,  ,,,,,,,,,,,,,,
Ca II ,331.651,20, , ,  ,,,,,,,,,,,,,,
Ca XII , ,  ,4.86E+02,30 041     , 1/2 ,,,,,,,,,,,,,,
Ca I ,334.451,10,1.51E+07,45 049.073 ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca II ,334.704,10, , ,  ,,,,,,,,,,,,,,
Ca I ,335.021,11,1.78E+07,45 050.419 ,2,,,,,,,,,,,,,,
Ca I ,335.036,9,1.11E+07,45 049.073 ,1,,,,,,,,,,,,,,
Ca I ,336.192,12,2.23E+07,45 052.374 ,3,,,,,,,,,,,,,,
Ca I ,336.214,9,6.50E+06,45 050.419 ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca I , ,  ,5.90E+05,45 049.073 ,1,,,,,,,,,,,,,,
Ca III ,336.7786,5000,4.50E+06,277 380.86  ,2,,,,,,,,,,,,,,
Ca III ,337.2671,10000,1.12E+08,272 188.70  ,1,,,,,,,,,,,,,,
Ca II ,345.266,10, , ,  ,,,,,,,,,,,,,,
Ca XIII , ,  ,1.11E-02,28 888     ,0,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca II ,346.187,20, , ,  ,,,,,,,,,,,,,,
Ca I ,346.848,9,1.30E+06,43 980.767 ,1,,,,,,,,,,,,,,
Ca I ,347.476,11,4.60E+06,43 980.767 ,1,,,,,,,,,,,,,,
Ca II ,348.561,10, , ,  ,,,,,,,,,,,,,,
Ca I ,348.76,13,7.80E+06,43 980.767 ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca II ,349.516,10, , ,  ,,,,,,,,,,,,,,
Ca III ,353.777,2600,3.50E+07,272 188.70  ,1,,,,,,,,,,,,,,
Ca III ,358.3659,42, ,350 900.04  ,2,,,,,,,,,,,,,,
Ca I ,362.411,15,2.12E+07,42 743.002 ,1,,,,,,,,,,,,,,
Ca I ,363.075,17,2.97E+07,42 744.716 ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca I ,363.097,14,1.53E+07,42 743.002 ,1,,,,,,,,,,,,,,
Ca I ,364.441,20,3.55E+07,42 747.387 ,3,,,,,,,,,,,,,,
Ca I ,364.477,14,9.40E+06,42 744.716 ,2,,,,,,,,,,,,,,
Ca I ,364.499,8,9.50E+05,42 743.002 ,1,,,,,,,,,,,,,,
Ca VI , ,  , ,27 246.6+x , 5/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca III ,366.932,7, ,350 900.04  ,2,,,,,,,,,,,,,,
Ca I , ,  ,2.20E+06,47 550.214 ,2,,,,,,,,,,,,,,
Ca I ,367.529,5,2.20E+06,47 550.271 ,3,,,,,,,,,,,,,,
Ca I , ,  ,3.80E+05,47 550.214 ,2,,,,,,,,,,,,,,
Ca I ,367.821,6,2.30E+06,47 550.371 ,4,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca I , ,  ,2.60E+05,47 550.271 ,3,,,,,,,,,,,,,,
Ca I , ,  ,1.00E+04,47 550.214 ,2,,,,,,,,,,,,,,
Ca II ,368.37,30, , ,  ,,,,,,,,,,,,,,
Ca VII , ,  ,4.40E+00,48 981.4   ,0,,,,,,,,,,,,,,
Ca III ,369.0878,120, ,350 741.19  ,3,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca II ,369.411,40, , ,  ,,,,,,,,,,,,,,
Ca II ,369.436,10, , ,  ,,,,,,,,,,,,,,
Ca II ,370.603,170,8.80E+07,52 166.93  , 1/2 ,,,,,,,,,,,,,,
Ca VI , ,  , ,26 835.1+x , 3/2 ,,,,,,,,,,,,,,
Ca II ,373.69,180,1.70E+08,52 166.93  , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca II ,373.938,10, , ,  ,,,,,,,,,,,,,,
Ca I ,374.835,6,3.40E+06,47 006.194 ,2,,,,,,,,,,,,,,
Ca I ,375.029,8,3.40E+06,47 006.280 ,3,,,,,,,,,,,,,,
Ca I , ,  ,6.20E+05,47 006.194 ,2,,,,,,,,,,,,,,
Ca I ,375.334,9,4.10E+06,47 006.400 ,4,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca I , ,  ,4.40E+05,47 006.280 ,3,,,,,,,,,,,,,,
Ca I , ,  ,1.70E+04,47 006.194 ,2,,,,,,,,,,,,,,
