Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,1.03E+08,242 411.27  ,3,,,,,,,,,,,,,
Si III ,244.948,11,1.81E+07,242 410.88  ,2,,,,,,,,,,,,,
Si III , ,  ,1.16E+08,242 411.70  ,4,,,,,,,,,,,,,
Si III , ,  ,1.29E+07,242 411.27  ,3,,,,,,,,,,,,,
Si III , ,  ,5.12E+05,242 410.88  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si VI , ,  ,9.91E+03,1 082 215     , 3/2 ,,,,,,,,,,,,,
Si I ,245.212,70,5.81E+05,40 991.884 ,1,,,,,,,,,,,,,
Si VI , ,  ,1.45E+04,1 082 215     , 3/2 ,,,,,,,,,,,,,
Si II , ,  ,2.58E+01,83 801.95  , 1/2 ,,,,,,,,,,,,,
Si III , ,  ,1.99E+07,244 871.47  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,1.31E+07,249 817.32  ,3,,,,,,,,,,,,,
Si IV ,248.282,2,6.62E+06,305 682.27  , 3/2 ,,,,,,,,,,,,,
Si III ,248.32,6,1.33E+07,249 817.85  ,4,,,,,,,,,,,,,
Si III , ,  ,1.15E+06,249 817.32  ,3,,,,,,,,,,,,,
Si VII , ,  ,1.48E+07,1 631 160     ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si IV ,248.538,1,7.06E+06,305 641.10  , 1/2 ,,,,,,,,,,,,,
Si III , ,  ,1.41E+07,249 818.93  ,5,,,,,,,,,,,,,
Si III , ,  ,8.86E+05,249 817.85  ,4,,,,,,,,,,,,,
Si III , ,  ,1.73E+04,249 817.32  ,3,,,,,,,,,,,,,
Si II , ,  ,1.13E+07,119 311.34  , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II , ,  ,8.07E+05,119 311.34  , 5/2 ,,,,,,,,,,,,,
Si II , ,  ,1.21E+07,119 311.19  , 7/2 ,,,,,,,,,,,,,
Si II , ,  ,5.48E+06,119 273.81  , 3/2 ,,,,,,,,,,,,,
Si II , ,  ,4.92E+07,119 273.81  , 3/2 ,,,,,,,,,,,,,
Si II , ,  ,5.36E+07,119 245.22  , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
